acct_ccy,acct_id,ctpty_ctry,ctpty_nm,rmt_inf_ustrd1,year_month,bal_aftr,occupation,age
CAD,CA81VANC8720013705,NL,Microsoft,Technology services invoice payment,2024-06-01,142.11,Professional,45
CAD,CA81VANC8720013705,Canada,Geldmaat ATM,Geldmaat: 57526f80-61b6-4165-a401-09097233b53f,2024-06-01,4327.11,Professional,45
CAD,CA81VANC8720013705,Great Britain,3M,Conglomerate product order,2024-06-01,4389.92,Professional,45
CAD,CA81VANC8720013705,NL,Airbus,Aerospace parts purchase,2024-06-01,4396.39,Professional,45
CAD,CA81VANC8720013705,NL,BASF,Chemical supply order,2024-06-01,4439.85,Professional,45
CAD,CA81VANC8720013705,NL,Tyler van den Nyeuwenhuysen-Schellekens,Household expenses,2024-06-01,4455.29,Professional,45
CAD,CA81VANC8720013705,Great Britain,Novartis,Drug order payment,2024-06-01,4498.92,Professional,45
CAD,CA81VANC8720013705,Canada,Geldmaat ATM,Geldmaat: 05f3d706-61c1-4cd5-b2b8-7226a0a6e99f,2024-06-01,8683.92,Professional,45
CAD,CA81VANC8720013705,Hungary,Novartis,Pharmacy bill,2024-06-01,8799.31,Professional,45
CAD,CA81VANC8720013705,Canada,Geldmaat ATM,Geldmaat: f784be93-c8aa-43c0-8d19-8934e5034d76,2024-06-01,12984.31,Professional,45
CAD,CA81VANC8720013705,Canada,Geldmaat ATM,Geldmaat: e2cae0b8-1aa1-42e7-a5d1-1314ae54768a,2024-06-01,17169.31,Professional,45
CAD,CA81VANC8720013705,Germany,Rosalie van der Linden,Christmas gift,2024-06-01,17173.21,Professional,45
CAD,CA81VANC8720013705,Hungary,Geldmaat ATM,Geldmaat: a6a1b19a-078e-46ba-b33e-17717eafb0d1,2024-06-01,17256.54,Professional,45
CAD,CA81VANC8720013705,NL,Ties Meyer,Shared hotel room cost,2024-06-01,17314.01,Professional,45
CAD,CA81VANC8720013705,NL,LVMH,High-end product buy,2024-06-01,17334.49,Professional,45
CAD,CA81VANC8720013705,Great Britain,General Electric,Diversified company fee,2024-06-01,17358.18,Professional,45
CAD,CA81VANC8720013705,NL,BASF,Laboratory reagents buy,2024-06-01,17412.9,Professional,45
CAD,CA81VANC8720013705,Canada,Geldmaat ATM,Geldmaat: 35f8476b-e03d-4174-a923-02664905f675,2024-06-01,21597.9,Professional,45
CAD,CA81VANC8720013705,NL,Honeywell,Conglomerate product order,2024-06-01,21614.34,Professional,45
CAD,CA81VANC8720013705,France,Volkswagen,Vehicle service charge,2024-06-01,21666.9,Professional,45
CAD,CA81VANC8720013705,Canada,Geldmaat ATM,Geldmaat: 0aeac1f6-321e-4ecb-ad2f-0e15c1f308fe,2024-06-01,25851.9,Professional,45
CAD,CA81VANC8720013705,NL,Carlijn Huijs,Housewarming gift,2024-06-01,25856.26,Professional,45
CAD,CA81VANC8720013705,NL,Tara Kuijpers,Gas money,2024-06-01,25875.79,Professional,45
CAD,CA81VANC8720013705,United States,Goldman Sachs,Investment fund entry,2024-06-01,25915.12,Professional,45
CAD,CA81VANC8720013705,NL,Volkswagen,Auto repair bill,2024-06-01,25922.9,Professional,45
CAD,CA81VANC8720013705,United States,Alphabet Inc.,Cloud storage subscription,2024-06-01,26003.02,Professional,45
CAD,CA81VANC8720013705,NL,Amazon,Marketplace seller fee,2024-06-01,26005.56,Professional,45
CAD,CA81VANC8720013705,NL,Sanofi,Medication purchase,2024-06-01,26021.33,Professional,45
CAD,CA81VANC8720013705,France,Novartis,Drug order payment,2024-06-01,26023.74,Professional,45
CAD,CA81VANC8720013705,Canada,Geldmaat ATM,Geldmaat: e6ee8713-3731-465d-9aff-59683468b674,2024-06-01,30208.74,Professional,45
CAD,CA81VANC8720013705,United States,Nike,Fashion brand order,2024-06-01,30261.38,Professional,45
CAD,CA81VANC8720013705,Spain,Jacob van Cuijck,Vacation expenses,2024-06-01,30268.67,Professional,45
CAD,CA81VANC8720013705,United States,Daimler,Car parts order,2024-06-01,30278.7,Professional,45
CAD,CA81VANC8720013705,NL,Ford Motor,Auto repair bill,2024-06-01,30309.82,Professional,45
CAD,CA81VANC8720013705,Canada,Geldmaat ATM,Geldmaat: 71e4e894-bcb3-4512-9545-bd9cd7013fc0,2024-06-01,34494.82,Professional,45
CAD,CA81VANC8720013705,Italy,Mees van Embden,Shared ride expenses,2024-06-01,34497.07,Professional,45
CAD,CA81VANC8720013705,NL,Sanofi,Drug order payment,2024-06-01,34500.86,Professional,45
CAD,CA81VANC8720013705,Japan,Duke Energy,Renewable energy subscription,2024-06-01,34529.52,Professional,45
CAD,CA81VANC8720013705,NL,Boeing,Space exploration fee,2024-06-01,34531.25,Professional,45
CAD,CA81VANC8720013705,NL,Elisa Claassen,Reimbursement for bills,2024-06-01,34586.53,Professional,45
CAD,CA81VANC8720013705,Canada,Geldmaat ATM,Geldmaat: 51bc2588-44a2-471f-9ad0-4ef0f5e0e731,2024-06-01,38771.53,Professional,45
CAD,CA81VANC8720013705,NL,Alibaba,E-commerce order,2024-06-01,38857.86,Professional,45
CAD,CA81VANC8720013705,Canada,Geldmaat ATM,Geldmaat: 679ea5f6-985b-427b-a762-c1507650ac85,2024-06-01,43042.86,Professional,45
CAD,CA81VANC8720013705,NL,Livia van de Wiel,Shared subscription,2024-06-01,43063.33,Professional,45
CAD,CA81VANC8720013705,NL,ByteDance,Software license fee payment,2024-06-01,43069.93,Professional,45
CAD,CA81VANC8720013705,Canada,Bayer,Drug order payment,2024-06-01,43073.94,Professional,45
CAD,CA81VANC8720013705,Japan,Duke Energy,Electricity payment,2024-06-01,43126.78,Professional,45
CAD,CA81VANC8720013705,NL,Ella Leene,Birthday gift,2024-06-01,43139.15,Professional,45
CAD,CA81VANC8720013705,NL,Airbus,Aerospace parts purchase,2024-06-01,43139.75,Professional,45
CAD,CA81VANC8720013705,Canada,Geldmaat ATM,Geldmaat: 81c290b2-e2e1-4dc0-8ea2-aee5d36578a1,2024-06-01,47324.75,Professional,45
