acct_ccy,acct_id,ctpty_ctry,ctpty_nm,rmt_inf_ustrd1,year_month,bal_aftr,occupation,age
GBP,GB37FAKE9014921500,NL,Cisco Systems,Software license fee payment,2024-06-01,8834.37,Retired,65
GBP,GB37FAKE9014921500,NL,Geldmaat ATM,Geldmaat: 78221c1b-1dcb-4451-95ad-ad85a040e80d,2024-06-01,12663.37,Retired,65
GBP,GB37FAKE9014921500,NL,3M,Corporate services payment,2024-06-01,12755.92,Retired,65
GBP,GB37FAKE9014921500,NL,Geldmaat ATM,Geldmaat: 29a6b0e1-ffd1-46af-b170-a895e1cc1f69,2024-06-01,16584.92,Retired,65
GBP,GB37FAKE9014921500,NL,Cisco Systems,Software license fee payment,2024-06-01,16598.33,Retired,65
GBP,GB37FAKE9014921500,Spain,Ford Motor,Vehicle service charge,2024-06-01,16600.37,Retired,65
GBP,GB37FAKE9014921500,NL,Accenture,Advisory session charge,2024-06-01,16702.3,Retired,65
GBP,GB37FAKE9014921500,NL,Geldmaat ATM,Geldmaat: acd95039-b044-44af-a12f-a1437277f62c,2024-06-01,20531.3,Retired,65
GBP,GB37FAKE9014921500,NL,Duke Energy,Electricity payment,2024-06-01,20536.63,Retired,65
GBP,GB37FAKE9014921500,France,Suus van de Biezenbos,Funeral expenses,2024-06-01,20568.93,Retired,65
GBP,GB37FAKE9014921500,NL,Huawei,Cloud storage subscription,2024-06-01,20632.02,Retired,65
GBP,GB37FAKE9014921500,United States,PepsiCo,Beverage order,2024-06-01,20680.99,Retired,65
GBP,GB37FAKE9014921500,NL,Geldmaat ATM,Geldmaat: e70f04d8-e2bb-43ec-bfe7-9f3c0194c59c,2024-06-01,24509.99,Retired,65
GBP,GB37FAKE9014921500,Canada,Hidde Lieshout,School fees,2024-06-01,24528.27,Retired,65
GBP,GB37FAKE9014921500,Germany,Riley Mulder,Christmas gift,2024-06-01,24564.3,Retired,65
GBP,GB37FAKE9014921500,NL,Noëlle de Koning,Loan repayment,2024-06-01,24597.54,Retired,65
GBP,GB37FAKE9014921500,NL,Geldmaat ATM,Geldmaat: c7b01719-2d60-4867-86b3-8143568f1887,2024-06-01,28426.54,Retired,65
GBP,GB37FAKE9014921500,NL,David Bruynzeels,Baby shower gift,2024-06-01,28471.05,Retired,65
GBP,GB37FAKE9014921500,Hungary,Amazon,E-commerce order,2024-06-01,28547.95,Retired,65
GBP,GB37FAKE9014921500,NL,Geldmaat ATM,Geldmaat: 2c4d2022-6519-45fe-83e0-912f71d58571,2024-06-01,32376.95,Retired,65
GBP,GB37FAKE9014921500,NL,Sam Stange,Gift,2024-06-01,32400.88,Retired,65
GBP,GB37FAKE9014921500,NL,PepsiCo,Catering service fee,2024-06-01,32439.79,Retired,65
GBP,GB37FAKE9014921500,Great Britain,Lise Arnold-Nollee,Travel expenses,2024-06-01,32443.18,Retired,65
GBP,GB37FAKE9014921500,Great Britain,General Electric,Business unit invoice,2024-06-01,32444.4,Retired,65
GBP,GB37FAKE9014921500,NL,Cisco Systems,Web hosting fee,2024-06-01,32511.42,Retired,65
GBP,GB37FAKE9014921500,NL,Geldmaat ATM,Geldmaat: 256213fb-3eba-4296-847e-cdb038b810ac,2024-06-01,36340.42,Retired,65
GBP,GB37FAKE9014921500,Spain,Boeing,Aviation technology fee,2024-06-01,36368.85,Retired,65
GBP,GB37FAKE9014921500,NL,Geldmaat ATM,Geldmaat: e9b90311-fcf6-4bcd-9d43-396a48cc59cb,2024-06-01,36519.72,Retired,65
GBP,GB37FAKE9014921500,NL,Geldmaat ATM,Geldmaat: 7267d9fc-8bd1-4b0b-8b30-dae79573aef4,2024-06-01,40348.72,Retired,65
GBP,GB37FAKE9014921500,Canada,Merck & Co.,Pharmacy bill,2024-06-01,40365.35,Retired,65
GBP,GB37FAKE9014921500,NL,Volkswagen,Car parts order,2024-06-01,40378.51,Retired,65
GBP,GB37FAKE9014921500,NL,Geldmaat ATM,Geldmaat: 38c7dc37-41b7-48bf-b5d7-c1061153f6b5,2024-06-01,44207.51,Retired,65
GBP,GB37FAKE9014921500,NL,Kayleigh Blom,Child support,2024-06-01,44212.31,Retired,65
