acct_ccy,acct_id,ctpty_ctry,ctpty_nm,rmt_inf_ustrd1,year_month,bal_aftr,occupation,age
GBP,GB45SCAM2743023262,United States,Dirk Hulst,Birthday gift,2024-06-01,7231.2,Student,20
GBP,GB45SCAM2743023262,NL,Geldmaat ATM,Geldmaat: 7269b849-65d2-45c4-ac4a-74d42e3d8c95,2024-06-01,7257.2,Student,20
GBP,GB45SCAM2743023262,Canada,Meta Platforms,Web hosting fee,2024-06-01,7258.17,Student,20
GBP,GB45SCAM2743023262,NL,Geldmaat ATM,Geldmaat: ab212b0e-0b1e-43b1-9178-c6043e78fb14,2024-06-01,7284.17,Student,20
GBP,GB45SCAM2743023262,NL,Senn Dries-Schagen,Gas money,2024-06-01,7285.5,Student,20
GBP,GB45SCAM2743023262,NL,Pfizer,Medication purchase,2024-06-01,7289.7,Student,20
GBP,GB45SCAM2743023262,NL,Geldmaat ATM,Geldmaat: 1c903883-2f3e-414c-8212-c2506a29cd89,2024-06-01,7315.7,Student,20
GBP,GB45SCAM2743023262,Italy,3M,Business unit invoice,2024-06-01,7324.59,Student,20
GBP,GB45SCAM2743023262,NL,Geldmaat ATM,Geldmaat: 6e725b5c-493a-4826-880a-67d0444cadf1,2024-06-01,7350.59,Student,20
GBP,GB45SCAM2743023262,Spain,Sep van Munster,Travel expenses,2024-06-01,7351.83,Student,20
GBP,GB45SCAM2743023262,NL,Geldmaat ATM,Geldmaat: e5549164-bca3-43a7-8832-71dabb03f628,2024-06-01,7377.83,Student,20
GBP,GB45SCAM2743023262,NL,Joël Zeemans,Funeral expenses,2024-06-01,7379.24,Student,20
GBP,GB45SCAM2743023262,NL,Geldmaat ATM,Geldmaat: b6aca890-ee2c-4439-9b57-25e9d409c2eb,2024-06-01,7405.24,Student,20
GBP,GB45SCAM2743023262,NL,Duke Energy,Renewable energy subscription,2024-06-01,7410.46,Student,20
GBP,GB45SCAM2743023262,NL,Geldmaat ATM,Geldmaat: 25a8af02-fc32-4349-a715-1ad596b75fca,2024-06-01,7436.46,Student,20
GBP,GB45SCAM2743023262,NL,AstraZeneca,Pharmacy bill,2024-06-01,7501.39,Student,20
GBP,GB45SCAM2743023262,NL,Geldmaat ATM,Geldmaat: 4066012d-0d04-4dfb-9e77-d212a5b63fe1,2024-06-01,7527.39,Student,20
GBP,GB45SCAM2743023262,NL,Geldmaat ATM,Geldmaat: 82ddd324-52fc-4932-8b52-bf1768547ff4,2024-06-01,7553.39,Student,20
GBP,GB45SCAM2743023262,NL,Ford Motor,Auto repair bill,2024-06-01,7554.72,Student,20
GBP,GB45SCAM2743023262,NL,Mitsubishi,Business unit invoice,2024-06-01,7556.09,Student,20
GBP,GB45SCAM2743023262,NL,Geldmaat ATM,Geldmaat: ba646ee2-d302-4439-bdac-12dc3d54e65b,2024-06-01,7582.09,Student,20
GBP,GB45SCAM2743023262,NL,Geldmaat ATM,Geldmaat: 28c10a85-1fc0-4576-ac73-6ae388dcf8f4,2024-06-01,7608.09,Student,20
GBP,GB45SCAM2743023262,NL,Nike,Apparel shopping,2024-06-01,7611.51,Student,20
GBP,GB45SCAM2743023262,NL,Geldmaat ATM,Geldmaat: 605aec5f-19eb-4fb9-a1c5-42e9ad86fa62,2024-06-01,7637.51,Student,20
GBP,GB45SCAM2743023262,Great Britain,Toyota,Auto repair bill,2024-06-01,7640.92,Student,20
GBP,GB45SCAM2743023262,NL,Geldmaat ATM,Geldmaat: a22daf43-925a-47e6-be35-87693a534ffb,2024-06-01,7666.92,Student,20
GBP,GB45SCAM2743023262,NL,Novartis,Pharmacy bill,2024-06-01,7669.71,Student,20
GBP,GB45SCAM2743023262,NL,3M,Business unit invoice,2024-06-01,7670.93,Student,20
GBP,GB45SCAM2743023262,NL,Geldmaat ATM,Geldmaat: 7b972c7c-91d3-4190-9613-b26fdb37b959,2024-06-01,7696.93,Student,20
GBP,GB45SCAM2743023262,Great Britain,Tata Consultancy Services,IT support fee,2024-06-01,7699.69,Student,20
GBP,GB45SCAM2743023262,NL,Geldmaat ATM,Geldmaat: 899de7db-3b26-48c0-a7d8-496a64ef42d2,2024-06-01,7725.69,Student,20
GBP,GB45SCAM2743023262,NL,Geldmaat ATM,Geldmaat: dddbcd68-6def-46d1-8601-8f1835cff700,2024-06-01,7751.69,Student,20
GBP,GB45SCAM2743023262,Canada,Renault,Auto repair bill,2024-06-01,7757.0,Student,20
GBP,GB45SCAM2743023262,NL,Geldmaat ATM,Geldmaat: d7a06056-cba8-405c-9476-cf3eaec4cb70,2024-06-01,7783.0,Student,20
GBP,GB45SCAM2743023262,NL,BASF,Cleaning products order,2024-06-01,7785.03,Student,20
GBP,GB45SCAM2743023262,Great Britain,Esther Jonker-van Ham,Shared ride expenses,2024-06-01,7788.29,Student,20
GBP,GB45SCAM2743023262,NL,Geldmaat ATM,Geldmaat: 389aac3d-fe34-4192-aa50-7904a1008586,2024-06-01,7814.29,Student,20
GBP,GB45SCAM2743023262,NL,Geldmaat ATM,Geldmaat: 9d32b12b-7df4-4cc2-b04b-6bf9b8b4fda5,2024-06-01,7840.29,Student,20
GBP,GB45SCAM2743023262,Denmark,Jonas Uphuis-Saxo,Housewarming gift,2024-06-01,7844.13,Student,20
GBP,GB45SCAM2743023262,NL,Allianz,Claim settlement,2024-06-01,7846.66,Student,20
GBP,GB45SCAM2743023262,NL,Geldmaat ATM,Geldmaat: 611b34f7-5f82-469f-8437-cecebafeda96,2024-06-01,7872.66,Student,20
GBP,GB45SCAM2743023262,NL,Accenture,Professional service invoice,2024-06-01,7877.18,Student,20
GBP,GB45SCAM2743023262,NL,Geldmaat ATM,Geldmaat: 1f7aae76-0bd3-44d1-b0be-f34ed80f67fd,2024-06-01,7903.18,Student,20
GBP,GB45SCAM2743023262,NL,Geldmaat ATM,Geldmaat: 82ef94d1-5952-4fce-932f-4ac1480ef12a,2024-06-01,7929.18,Student,20
GBP,GB45SCAM2743023262,Canada,Geldmaat ATM,Geldmaat: 1aa7fc88-fe84-4a86-9238-5775fb2e9f18,2024-06-01,7936.3,Student,20
GBP,GB45SCAM2743023262,NL,Huawei,Web hosting fee,2024-06-01,7940.3,Student,20
GBP,GB45SCAM2743023262,NL,Geldmaat ATM,Geldmaat: b72281ea-4932-41cf-8e1c-58e34cfe423a,2024-06-01,7966.3,Student,20
GBP,GB45SCAM2743023262,NL,Accenture,Professional service invoice,2024-06-01,7974.47,Student,20
GBP,GB45SCAM2743023262,NL,Geldmaat ATM,Geldmaat: aa8f653b-d7df-48d1-9825-9489fed611ee,2024-06-01,8000.47,Student,20
GBP,GB45SCAM2743023262,NL,Geldmaat ATM,Geldmaat: d9728e31-3e3d-4f34-b96c-659343693fa0,2024-06-01,8026.47,Student,20
GBP,GB45SCAM2743023262,United States,Sanofi,Drug order payment,2024-06-01,8027.64,Student,20
GBP,GB45SCAM2743023262,NL,Geldmaat ATM,Geldmaat: e1b4b4a4-79a7-47e5-9995-f03a088de8f1,2024-06-01,8053.64,Student,20
GBP,GB45SCAM2743023262,Germany,Daimler,Vehicle service charge,2024-06-01,8056.55,Student,20
GBP,GB45SCAM2743023262,NL,Toyota,Auto repair bill,2024-06-01,8057.17,Student,20
GBP,GB45SCAM2743023262,Germany,GlaxoSmithKline,Medication purchase,2024-06-01,8060.8,Student,20
GBP,GB45SCAM2743023262,NL,Geldmaat ATM,Geldmaat: 454fe652-8bb5-468e-908b-16180567c255,2024-06-01,8086.8,Student,20
GBP,GB45SCAM2743023262,NL,Alphabet Inc.,Cloud storage subscription,2024-06-01,8088.24,Student,20
GBP,GB45SCAM2743023262,NL,Geldmaat ATM,Geldmaat: 8cf43784-3115-41e7-86e4-8855df31b9b7,2024-06-01,8114.24,Student,20
GBP,GB45SCAM2743023262,NL,Goldman Sachs,Investment fund entry,2024-06-01,8116.12,Student,20
GBP,GB45SCAM2743023262,NL,Geldmaat ATM,Geldmaat: d8202d0f-d5c7-4780-bd34-24b871a1738c,2024-06-01,8142.12,Student,20
GBP,GB45SCAM2743023262,NL,Geldmaat ATM,Geldmaat: 6632155b-dace-45db-9d65-ee701c5e5752,2024-06-01,8168.12,Student,20
GBP,GB45SCAM2743023262,NL,LVMH,Designer goods order,2024-06-01,8170.18,Student,20
GBP,GB45SCAM2743023262,NL,Geldmaat ATM,Geldmaat: 0ff5cbb7-e8ab-4021-a9b0-5854177df7a2,2024-07-01,8196.18,Student,20
GBP,GB45SCAM2743023262,Spain,Geldmaat ATM,Geldmaat: 9136d9da-7d66-49d1-9a1b-c14d85b28db3,2024-07-01,8242.83,Student,20
GBP,GB45SCAM2743023262,NL,Geldmaat ATM,Geldmaat: 871dc1a3-31e5-452b-b486-c43878c2c610,2024-07-01,8268.83,Student,20
GBP,GB45SCAM2743023262,Japan,Dave Weerdenburg,Wedding gift,2024-07-01,8281.37,Student,20
GBP,GB45SCAM2743023262,Belgium,Kyano van Es,Shared ride expenses,2024-07-01,8284.59,Student,20
GBP,GB45SCAM2743023262,NL,Geldmaat ATM,Geldmaat: 36e48b53-4e2a-4549-8e56-81c6c1cb5443,2024-07-01,8310.59,Student,20
GBP,GB45SCAM2743023262,Germany,Amazon,Online shopping,2024-07-01,8313.25,Student,20
GBP,GB45SCAM2743023262,NL,Sarah de Koning-van Dam,Christmas gift,2024-07-01,8314.18,Student,20
GBP,GB45SCAM2743023262,NL,Geldmaat ATM,Geldmaat: 4b9379c5-f45f-4795-ac04-a1f1189ac042,2024-07-01,8340.18,Student,20
GBP,GB45SCAM2743023262,NL,IBM,Web hosting fee,2024-07-01,8341.33,Student,20
