acct_ccy,acct_id,ctpty_ctry,ctpty_nm,rmt_inf_ustrd1,year_month,bal_aftr,occupation,age
J,JP77NISE7500625195,Great Britain,Geldmaat ATM,Geldmaat: e7e56187-9688-40ac-9e6a-8e1e883a0c36,2024-06-01,1456.0,Student,20
J,JP77NISE7500625195,NL,Novartis,Medication purchase,2024-06-01,1459.79,Student,20
J,JP77NISE7500625195,Great Britain,Geldmaat ATM,Geldmaat: ddac69ed-65f2-4eff-9b4b-65cd3e55d762,2024-06-01,1508.79,Student,20
J,JP77NISE7500625195,NL,Johnson & Johnson,Pharmacy bill,2024-06-01,1509.4,Student,20
J,JP77NISE7500625195,Hungary,LVMH,Exclusive brand fee,2024-06-01,1512.51,Student,20
J,JP77NISE7500625195,NL,Seth Schelvis,Wedding gift,2024-06-01,1516.56,Student,20
J,JP77NISE7500625195,Great Britain,Geldmaat ATM,Geldmaat: 01b0dd53-53a8-44a4-9b22-1af291f27f48,2024-06-01,1565.56,Student,20
J,JP77NISE7500625195,Great Britain,Geldmaat ATM,Geldmaat: 7550ab40-a6ac-485c-9a4e-ece4a2237ccf,2024-06-01,1614.56,Student,20
J,JP77NISE7500625195,NL,Pfizer,Healthcare prescription,2024-06-01,1619.32,Student,20
J,JP77NISE7500625195,Spain,Gilead Sciences,Genetic testing kit,2024-06-01,1625.48,Student,20
J,JP77NISE7500625195,Great Britain,Geldmaat ATM,Geldmaat: 40a3d71e-b630-4529-a306-8611c89cdd24,2024-06-01,1674.48,Student,20
J,JP77NISE7500625195,NL,Merck & Co.,Pharmacy bill,2024-06-01,1676.87,Student,20
J,JP77NISE7500625195,Great Britain,Geldmaat ATM,Geldmaat: 93042823-3305-4869-8516-b9a876c4c6f7,2024-06-01,1725.87,Student,20
J,JP77NISE7500625195,NL,Geldmaat ATM,Geldmaat: d4a8a187-b433-4662-aa39-f9269fd0109d,2024-06-01,1742.65,Student,20
J,JP77NISE7500625195,Great Britain,Geldmaat ATM,Geldmaat: 4cb4d50f-821d-4999-864a-09dfb7042c0c,2024-06-01,1791.65,Student,20
J,JP77NISE7500625195,NL,Boeing,Aerospace parts purchase,2024-06-01,1793.71,Student,20
J,JP77NISE7500625195,Canada,Nynke Kronenberg-Jekel,Reimbursement for bills,2024-06-01,1794.73,Student,20
J,JP77NISE7500625195,Canada,Lot de Grunt-Koster,Shared ride expenses,2024-06-01,1800.67,Student,20
J,JP77NISE7500625195,Great Britain,Geldmaat ATM,Geldmaat: 847acba2-8572-40f0-a399-95a528a8d286,2024-06-01,1849.67,Student,20
J,JP77NISE7500625195,NL,Merck & Co.,Medication purchase,2024-06-01,1853.36,Student,20
J,JP77NISE7500625195,Great Britain,Geldmaat ATM,Geldmaat: 28745f84-7717-4c25-9829-5e5170e5ce4b,2024-06-01,1902.36,Student,20
J,JP77NISE7500625195,NL,Alibaba,E-commerce order,2024-06-01,1905.08,Student,20
J,JP77NISE7500625195,Great Britain,Geldmaat ATM,Geldmaat: 4f708c8d-5f0b-43d8-ac21-aa1d8c382bca,2024-06-01,1954.08,Student,20
J,JP77NISE7500625195,Great Britain,Olaf Kriens,Shared meal cost,2024-06-01,1957.44,Student,20
J,JP77NISE7500625195,Great Britain,Geldmaat ATM,Geldmaat: 6e4795d0-67d0-4c02-89bf-24cd5f9ac586,2024-06-01,2006.44,Student,20
J,JP77NISE7500625195,Great Britain,Geldmaat ATM,Geldmaat: 09d06929-0c0e-4c6a-b9ef-6bc3ea859635,2024-06-01,2055.44,Student,20
J,JP77NISE7500625195,Great Britain,Gilead Sciences,Biotech research fee,2024-06-01,2059.3,Student,20
J,JP77NISE7500625195,NL,Mitsubishi,Conglomerate product order,2024-06-01,2063.6,Student,20
J,JP77NISE7500625195,Great Britain,Geldmaat ATM,Geldmaat: a2522857-f15b-4d55-a2d8-cba0002692e5,2024-06-01,2112.6,Student,20
J,JP77NISE7500625195,Belgium,Tata Consultancy Services,Technical service charge,2024-06-01,2130.7,Student,20
J,JP77NISE7500625195,Great Britain,Geldmaat ATM,Geldmaat: f28bba92-1cd9-4787-a6e1-661c4eef5301,2024-06-01,2179.7,Student,20
J,JP77NISE7500625195,Great Britain,Geldmaat ATM,Geldmaat: fbac6ee2-4b72-47e8-b9fe-b3a580cb12b0,2024-06-01,2228.7,Student,20
J,JP77NISE7500625195,France,Wesley van Beieren-van Velzen,School fees,2024-06-01,2229.93,Student,20
J,JP77NISE7500625195,NL,Facebook,Ad campaign funding,2024-06-01,2231.41,Student,20
J,JP77NISE7500625195,Great Britain,BASF,Industrial chemicals purchase,2024-06-01,2236.52,Student,20
J,JP77NISE7500625195,Great Britain,Geldmaat ATM,Geldmaat: 1ade0164-c916-434b-b6ed-53b3c81a6b8b,2024-06-01,2285.52,Student,20
J,JP77NISE7500625195,Great Britain,Geldmaat ATM,Geldmaat: 06aa2bcb-2f90-4cad-a63f-d4dad74904b7,2024-06-01,2334.52,Student,20
J,JP77NISE7500625195,United States,Oracle,Technology services invoice payment,2024-06-01,2338.54,Student,20
J,JP77NISE7500625195,Great Britain,Geldmaat ATM,Geldmaat: e834d1a4-946b-46ad-8d61-1543fdac0bb6,2024-06-01,2387.54,Student,20
J,JP77NISE7500625195,United States,3M,Diversified company fee,2024-06-01,2390.76,Student,20
J,JP77NISE7500625195,NL,Cisco Systems,Software license fee payment,2024-06-01,2394.61,Student,20
J,JP77NISE7500625195,NL,BASF,Industrial chemicals purchase,2024-06-01,2395.8,Student,20
J,JP77NISE7500625195,Great Britain,Geldmaat ATM,Geldmaat: a69b60b2-985f-4e69-b552-b82c324e18dd,2024-06-01,2444.8,Student,20
J,JP77NISE7500625195,Great Britain,Geldmaat ATM,Geldmaat: ed4fecb4-0b8e-47d3-aa57-7601ef713b65,2024-06-01,2493.8,Student,20
J,JP77NISE7500625195,NL,Geldmaat ATM,Geldmaat: fd4f9e93-305c-45ee-9cf3-070962970380,2024-06-01,2513.0,Student,20
