acct_ccy,acct_id,ctpty_ctry,ctpty_nm,rmt_inf_ustrd1,year_month,bal_aftr,occupation,age
EUR,NL05YEPP9228893778,NL,Josephine van der Strigt,Rent deposit,2024-06-01,8847.08,Self-employed,50
EUR,NL05YEPP9228893778,NL,Geldmaat ATM,Geldmaat: f30337a8-22f7-4843-b595-98e46ed4edd9,2024-06-01,9768.08,Self-employed,50
EUR,NL05YEPP9228893778,NL,Allianz,Insurance premium,2024-06-01,9773.32,Self-employed,50
EUR,NL05YEPP9228893778,Great Britain,Hannah van Kusen,Grocery money,2024-06-01,9794.18,Self-employed,50
EUR,NL05YEPP9228893778,NL,Kayleigh Verhaar,Party contribution,2024-06-01,9809.63,Self-employed,50
EUR,NL05YEPP9228893778,NL,Geldmaat ATM,Geldmaat: 6a7f5c83-dd4e-4d90-a05f-41fc218bd82b,2024-06-01,10730.63,Self-employed,50
EUR,NL05YEPP9228893778,NL,Mart Honing,Grocery money,2024-06-01,10739.98,Self-employed,50
EUR,NL05YEPP9228893778,NL,Geldmaat ATM,Geldmaat: d2f4fd99-07f8-4b14-a728-3add4a36dc39,2024-06-01,11660.98,Self-employed,50
EUR,NL05YEPP9228893778,Great Britain,Daimler,Vehicle service charge,2024-06-01,11685.52,Self-employed,50
EUR,NL05YEPP9228893778,NL,Gijs van Wassenaar,Rent assistance,2024-06-01,11686.62,Self-employed,50
EUR,NL05YEPP9228893778,NL,Mike Rijn,Rent deposit,2024-06-01,11689.06,Self-employed,50
EUR,NL05YEPP9228893778,Germany,Pfizer,Drug order payment,2024-06-01,11697.54,Self-employed,50
EUR,NL05YEPP9228893778,NL,GlaxoSmithKline,Medication purchase,2024-06-01,11706.17,Self-employed,50
EUR,NL05YEPP9228893778,NL,Geldmaat ATM,Geldmaat: 877ad53a-8f0e-4d51-b7b5-ac5fe0432d09,2024-06-01,12627.17,Self-employed,50
EUR,NL05YEPP9228893778,NL,Geldmaat ATM,Geldmaat: 2c6157af-2d68-437a-8c0e-637f447fde05,2024-06-01,12636.9,Self-employed,50
EUR,NL05YEPP9228893778,Germany,Tobias Willemsen,Birthday gift,2024-06-01,12642.4,Self-employed,50
EUR,NL05YEPP9228893778,Germany,Aya Schokman,Funeral expenses,2024-06-01,12654.19,Self-employed,50
EUR,NL05YEPP9228893778,Italy,General Electric,Business unit invoice,2024-06-01,12664.45,Self-employed,50
EUR,NL05YEPP9228893778,NL,Geldmaat ATM,Geldmaat: 69fb1a1b-2449-4d82-b1a6-47e91693c387,2024-06-01,12672.97,Self-employed,50
EUR,NL05YEPP9228893778,NL,Geldmaat ATM,Geldmaat: 7cdda558-6a5b-4dc2-be32-37f68832dcab,2024-06-01,13593.97,Self-employed,50
EUR,NL05YEPP9228893778,Spain,Angelina Visser-Meis,Shared meal cost,2024-06-01,14036.98,Self-employed,50
EUR,NL05YEPP9228893778,NL,Geldmaat ATM,Geldmaat: e806bcc9-027b-4b72-8468-7fe5e7577ead,2024-06-01,14957.98,Self-employed,50
EUR,NL05YEPP9228893778,Denmark,Volkswagen,Car purchase,2024-06-01,14983.19,Self-employed,50
EUR,NL05YEPP9228893778,NL,Geldmaat ATM,Geldmaat: 39031e0b-5d2e-4364-a310-f4524d9b5bf7,2024-06-01,15904.19,Self-employed,50
EUR,NL05YEPP9228893778,NL,Dell Technologies,Technology services invoice payment,2024-06-01,15908.98,Self-employed,50
EUR,NL05YEPP9228893778,Canada,Cisco Systems,Software license fee payment,2024-06-01,15918.16,Self-employed,50
EUR,NL05YEPP9228893778,Canada,Meta Platforms,Web hosting fee,2024-06-01,15923.73,Self-employed,50
EUR,NL05YEPP9228893778,NL,Geldmaat ATM,Geldmaat: ab4189bc-8026-45bd-ae1c-3cd997f40adc,2024-06-01,16844.73,Self-employed,50
EUR,NL05YEPP9228893778,NL,SoftBank,Conglomerate product order,2024-06-01,16875.91,Self-employed,50
EUR,NL05YEPP9228893778,NL,Job Gerritsen,Shared ride expenses,2024-06-01,16886.52,Self-employed,50
EUR,NL05YEPP9228893778,NL,General Electric,Corporate services payment,2024-06-01,16918.17,Self-employed,50
EUR,NL05YEPP9228893778,NL,Jari Brandt,Anniversary gift,2024-06-01,16930.82,Self-employed,50
EUR,NL05YEPP9228893778,NL,Geldmaat ATM,Geldmaat: 837dfee8-7bb2-46ee-8cc1-cc648386eaee,2024-06-01,17851.82,Self-employed,50
EUR,NL05YEPP9228893778,Hungary,GlaxoSmithKline,Drug order payment,2024-06-01,17859.2,Self-employed,50
EUR,NL05YEPP9228893778,NL,Honeywell,Diversified company fee,2024-06-01,17866.72,Self-employed,50
EUR,NL05YEPP9228893778,Germany,Morgan Stanley,Investment fund entry,2024-06-01,17879.12,Self-employed,50
EUR,NL05YEPP9228893778,Canada,Tata Consultancy Services,System upgrade fee,2024-06-01,17882.78,Self-employed,50
EUR,NL05YEPP9228893778,NL,Geldmaat ATM,Geldmaat: 40a4dbb9-f71e-4c75-800e-63f8f64b2a20,2024-06-01,18803.78,Self-employed,50
EUR,NL05YEPP9228893778,NL,Geldmaat ATM,Geldmaat: 00115dc6-f90f-4a38-ba2a-1fa2fd29ef2d,2024-06-01,19724.78,Self-employed,50
EUR,NL05YEPP9228893778,Canada,Roche,Drug order payment,2024-06-01,19740.62,Self-employed,50
EUR,NL05YEPP9228893778,NL,Cisco Systems,Cloud storage subscription,2024-06-01,19750.12,Self-employed,50
EUR,NL05YEPP9228893778,NL,Geldmaat ATM,Geldmaat: 9a4d2555-cf38-4247-b51b-85dddfbb2c6a,2024-06-01,19756.18,Self-employed,50
EUR,NL05YEPP9228893778,NL,Dave Ferran,Reimbursement for dinner,2024-06-01,19776.27,Self-employed,50
EUR,NL05YEPP9228893778,NL,Geldmaat ATM,Geldmaat: 7057eb99-ad99-4362-8be7-789030245846,2024-06-01,20697.27,Self-employed,50
EUR,NL05YEPP9228893778,NL,ByteDance,Web hosting fee,2024-06-01,20734.46,Self-employed,50
EUR,NL05YEPP9228893778,NL,Geldmaat ATM,Geldmaat: 7bdc4bc1-6a38-4109-9b69-b8e32796545c,2024-06-01,21655.46,Self-employed,50
EUR,NL05YEPP9228893778,Belgium,DuPont,Corporate services payment,2024-06-01,21669.88,Self-employed,50
EUR,NL05YEPP9228893778,Canada,Allianz,Insurance premium,2024-06-01,21680.81,Self-employed,50
EUR,NL05YEPP9228893778,NL,Geldmaat ATM,Geldmaat: f75e647a-6288-4d7c-b3ff-e6b4ad8ee526,2024-06-01,22601.81,Self-employed,50
EUR,NL05YEPP9228893778,NL,Huawei,Software license fee payment,2024-06-01,22730.69,Self-employed,50
EUR,NL05YEPP9228893778,Canada,Facebook,Premium account upgrade,2024-06-01,22740.52,Self-employed,50
EUR,NL05YEPP9228893778,NL,Geldmaat ATM,Geldmaat: 24f11afc-132c-4aeb-9dc8-2dbf418937b3,2024-06-01,23661.52,Self-employed,50
EUR,NL05YEPP9228893778,NL,Ford Motor,Car purchase,2024-06-01,23678.63,Self-employed,50
EUR,NL05YEPP9228893778,France,Novartis,Healthcare prescription,2024-06-01,23681.9,Self-employed,50
EUR,NL05YEPP9228893778,NL,Phillips 66,Energy supply charge,2024-06-01,23742.47,Self-employed,50
EUR,NL05YEPP9228893778,NL,Finn Holthuis,Reimbursement for bills,2024-06-01,23746.54,Self-employed,50
EUR,NL05YEPP9228893778,NL,Geldmaat ATM,Geldmaat: b13289ed-f440-42ee-bb81-c576e7bba0a5,2024-06-01,24667.54,Self-employed,50
EUR,NL05YEPP9228893778,United States,ByteDance,Web hosting fee,2024-06-01,24691.1,Self-employed,50
