acct_ccy,acct_id,ctpty_ctry,ctpty_nm,rmt_inf_ustrd1,year_month,bal_aftr,occupation,age
EUR,NL12FAKE3861853131,NL,Geldmaat ATM,Geldmaat: 3f558886-a757-4c26-a5da-d05725f4e860,2024-06-01,6682.0,Self-employed,50
EUR,NL12FAKE3861853131,NL,Jan Pison-Dirven,Party contribution,2024-06-01,6721.05,Self-employed,50
EUR,NL12FAKE3861853131,NL,Mette Claesner,Mortgage help,2024-06-01,6728.22,Self-employed,50
EUR,NL12FAKE3861853131,United States,Honeywell,Conglomerate product order,2024-06-01,6740.61,Self-employed,50
EUR,NL12FAKE3861853131,NL,Geldmaat ATM,Geldmaat: f39ce3ba-eec6-47b1-83fb-5695857a9aa4,2024-06-01,8750.61,Self-employed,50
EUR,NL12FAKE3861853131,Great Britain,DuPont,Business unit invoice,2024-06-01,8855.72,Self-employed,50
EUR,NL12FAKE3861853131,France,ByteDance,Cloud storage subscription,2024-06-01,8930.33,Self-employed,50
EUR,NL12FAKE3861853131,NL,Geldmaat ATM,Geldmaat: 0ee12749-43bb-4aa8-9e35-c4d3ab2f50f0,2024-06-01,10940.33,Self-employed,50
EUR,NL12FAKE3861853131,NL,Quinty Rek,Funeral expenses,2024-06-01,11003.85,Self-employed,50
EUR,NL12FAKE3861853131,NL,Geldmaat ATM,Geldmaat: 868976a0-f3a3-47fb-8b6d-b09cbe0657f6,2024-06-01,13013.85,Self-employed,50
EUR,NL12FAKE3861853131,NL,Roche,Pharmacy bill,2024-06-01,13034.98,Self-employed,50
EUR,NL12FAKE3861853131,NL,Geldmaat ATM,Geldmaat: a6e5c01c-d100-4e73-97f7-b731cb6e3d7c,2024-06-01,13053.55,Self-employed,50
EUR,NL12FAKE3861853131,NL,Apple Inc.,Cloud storage subscription,2024-06-01,13063.55,Self-employed,50
EUR,NL12FAKE3861853131,NL,Geldmaat ATM,Geldmaat: b0dd8adc-049c-40c8-9a15-a1e84863881a,2024-06-01,15073.55,Self-employed,50
EUR,NL12FAKE3861853131,NL,GlaxoSmithKline,Healthcare prescription,2024-06-01,15170.87,Self-employed,50
EUR,NL12FAKE3861853131,NL,Geldmaat ATM,Geldmaat: 90c1fa63-35f4-4abf-bf10-c97d77ea9d5d,2024-06-01,17180.87,Self-employed,50
EUR,NL12FAKE3861853131,Hungary,Mitsubishi,Conglomerate product order,2024-06-01,17205.56,Self-employed,50
EUR,NL12FAKE3861853131,United States,Morgan Stanley,Investment fund entry,2024-06-01,17228.19,Self-employed,50
EUR,NL12FAKE3861853131,NL,Geldmaat ATM,Geldmaat: 6718a25d-262c-45ce-9cd5-8cbd1670b1fa,2024-06-01,19238.19,Self-employed,50
EUR,NL12FAKE3861853131,France,Senn de Boer,Shared ride expenses,2024-06-01,19255.97,Self-employed,50
EUR,NL12FAKE3861853131,NL,Rens Bruijne van der Veen,Grocery money,2024-06-01,19382.58,Self-employed,50
EUR,NL12FAKE3861853131,NL,Geldmaat ATM,Geldmaat: d2872d3b-8714-4a79-94c3-b0d4830cf3df,2024-06-01,21392.58,Self-employed,50
EUR,NL12FAKE3861853131,NL,Nike,Clothing purchase,2024-06-01,21395.99,Self-employed,50
EUR,NL12FAKE3861853131,NL,Sanofi,Pharmacy bill,2024-06-01,21402.95,Self-employed,50
EUR,NL12FAKE3861853131,NL,Geldmaat ATM,Geldmaat: bc1b41d4-7461-4f9f-b03c-7fa2f807c97e,2024-06-01,23412.95,Self-employed,50
EUR,NL12FAKE3861853131,NL,Honeywell,Business unit invoice,2024-06-01,23463.58,Self-employed,50
EUR,NL12FAKE3861853131,NL,AstraZeneca,Pharmacy bill,2024-06-01,23479.12,Self-employed,50
EUR,NL12FAKE3861853131,NL,Geldmaat ATM,Geldmaat: bfe40145-de39-4b88-a594-d5811adbd081,2024-06-01,25489.12,Self-employed,50
EUR,NL12FAKE3861853131,NL,Dex de Werd,Emergency funds,2024-06-01,25527.37,Self-employed,50
EUR,NL12FAKE3861853131,NL,Geldmaat ATM,Geldmaat: 5524f990-785c-43c4-b89b-d4e3139704e9,2024-06-01,27537.37,Self-employed,50
EUR,NL12FAKE3861853131,Germany,GlaxoSmithKline,Medication purchase,2024-06-01,27595.97,Self-employed,50
EUR,NL12FAKE3861853131,NL,Meta Platforms,Cloud storage subscription,2024-06-01,27612.28,Self-employed,50
EUR,NL12FAKE3861853131,NL,Berkshire Hathaway,Diversified company fee,2024-06-01,27626.47,Self-employed,50
EUR,NL12FAKE3861853131,NL,Geldmaat ATM,Geldmaat: e3fe8ee2-79b2-496d-8291-7a65d34975d1,2024-06-01,29636.47,Self-employed,50
EUR,NL12FAKE3861853131,NL,Alibaba,Online shopping,2024-06-01,29646.28,Self-employed,50
EUR,NL12FAKE3861853131,NL,IBM,Software license fee payment,2024-06-01,29661.46,Self-employed,50
EUR,NL12FAKE3861853131,NL,Meta Platforms,Cloud storage subscription,2024-06-01,29680.27,Self-employed,50
EUR,NL12FAKE3861853131,NL,Geldmaat ATM,Geldmaat: f52a7385-3108-409a-8484-2abef9f599b0,2024-06-01,31690.27,Self-employed,50
EUR,NL12FAKE3861853131,Germany,Airbus,Aircraft maintenance,2024-06-01,31714.94,Self-employed,50
EUR,NL12FAKE3861853131,NL,Geldmaat ATM,Geldmaat: bfb3c926-8489-49f1-9231-bcd8f50b2fea,2024-06-01,33724.94,Self-employed,50
EUR,NL12FAKE3861853131,NL,Oracle,Software license fee payment,2024-06-01,33726.39,Self-employed,50
EUR,NL12FAKE3861853131,NL,Microsoft,Software license fee payment,2024-06-01,33753.28,Self-employed,50
EUR,NL12FAKE3861853131,NL,Boeing,Space exploration fee,2024-06-01,33765.03,Self-employed,50
EUR,NL12FAKE3861853131,Hungary,Sanofi,Medication purchase,2024-06-01,33776.35,Self-employed,50
EUR,NL12FAKE3861853131,Great Britain,Sarah Wunderink-van den Brink,Rent payment,2024-06-01,33795.38,Self-employed,50
EUR,NL12FAKE3861853131,Great Britain,Luca Briere,Reimbursement for dinner,2024-06-01,33798.72,Self-employed,50
EUR,NL12FAKE3861853131,Canada,Jort Bleijenberg,Pet expenses,2024-06-01,33807.31,Self-employed,50
EUR,NL12FAKE3861853131,NL,Geldmaat ATM,Geldmaat: e10c7d24-ff0a-4a53-a009-5fb88919c3c4,2024-06-01,35817.31,Self-employed,50
EUR,NL12FAKE3861853131,France,Gilead Sciences,Clinical trial payment,2024-06-01,35913.47,Self-employed,50
EUR,NL12FAKE3861853131,NL,Geldmaat ATM,Geldmaat: edce38ff-cfa4-4752-96d0-3b61f3520367,2024-06-01,37923.47,Self-employed,50
EUR,NL12FAKE3861853131,NL,Geldmaat ATM,Geldmaat: a2e6f6d7-a2d0-49f0-b416-228b7d917fa1,2024-06-01,39933.47,Self-employed,50
EUR,NL12FAKE3861853131,NL,Yfke Geerling,Friend loan repayment,2024-06-01,40026.64,Self-employed,50
EUR,NL12FAKE3861853131,NL,Zoey Beekman,Reimbursement for medical expenses,2024-06-01,40033.0,Self-employed,50
EUR,NL12FAKE3861853131,NL,Geldmaat ATM,Geldmaat: 1b5651ef-9546-47dc-9c2e-909dd5fca4c6,2024-06-01,42043.0,Self-employed,50
EUR,NL12FAKE3861853131,NL,Gilead Sciences,Laboratory service charge,2024-06-01,42084.32,Self-employed,50
EUR,NL12FAKE3861853131,NL,Microsoft,Cloud storage subscription,2024-06-01,42114.49,Self-employed,50
EUR,NL12FAKE3861853131,Canada,Geldmaat ATM,Geldmaat: 37beaa12-4435-4126-b4fa-d90c2eb59b76,2024-06-01,42122.89,Self-employed,50
EUR,NL12FAKE3861853131,NL,Geldmaat ATM,Geldmaat: aec91f68-dc72-465e-951e-1453db620b81,2024-06-01,44132.89,Self-employed,50
EUR,NL12FAKE3861853131,Canada,Apple Inc.,Software license fee payment,2024-06-01,44214.34,Self-employed,50
EUR,NL12FAKE3861853131,NL,Geldmaat ATM,Geldmaat: 9239bcaa-648b-40a0-aa87-69455f126cc8,2024-06-01,46224.34,Self-employed,50
EUR,NL12FAKE3861853131,NL,Geldmaat ATM,Geldmaat: 47c8f81b-df4e-4764-920b-be201d82cddf,2024-06-01,48234.34,Self-employed,50
EUR,NL12FAKE3861853131,Canada,Daphne van den Wittenboer,Dinner reimbursement,2024-06-01,48248.3,Self-employed,50
EUR,NL12FAKE3861853131,NL,Geldmaat ATM,Geldmaat: a1b0b7fe-b087-48eb-b840-2aaccc532223,2024-06-01,48293.9,Self-employed,50
EUR,NL12FAKE3861853131,NL,Allianz,Policy renewal fee,2024-06-01,48314.36,Self-employed,50
EUR,NL12FAKE3861853131,NL,Renault,Vehicle service charge,2024-06-01,48319.99,Self-employed,50
EUR,NL12FAKE3861853131,NL,Geldmaat ATM,Geldmaat: 2c50fa62-2c51-45db-b18a-e9d3a00454b7,2024-06-01,50329.99,Self-employed,50
EUR,NL12FAKE3861853131,NL,AstraZeneca,Healthcare prescription,2024-06-01,50342.03,Self-employed,50
EUR,NL12FAKE3861853131,NL,BMW,Car purchase,2024-06-01,50379.61,Self-employed,50
EUR,NL12FAKE3861853131,NL,Geldmaat ATM,Geldmaat: 7ae32324-32d3-43f2-b827-25bf1179b038,2024-06-01,52389.61,Self-employed,50
EUR,NL12FAKE3861853131,NL,Volkswagen,Vehicle service charge,2024-06-01,52406.6,Self-employed,50
EUR,NL12FAKE3861853131,Spain,Novartis,Pharmacy bill,2024-06-01,52416.38,Self-employed,50
EUR,NL12FAKE3861853131,NL,Alphabet Inc.,Cloud storage subscription,2024-06-01,52425.09,Self-employed,50
EUR,NL12FAKE3861853131,NL,Geldmaat ATM,Geldmaat: 7321dfe5-7e37-4dcc-b5b9-13a33e74f8d7,2024-06-01,54435.09,Self-employed,50
EUR,NL12FAKE3861853131,Great Britain,Lieke Kuiper,Travel expenses,2024-06-01,54467.75,Self-employed,50
EUR,NL12FAKE3861853131,NL,Geldmaat ATM,Geldmaat: 1fdd22ff-aa47-4a6a-be30-8e5f17cb5740,2024-06-01,56477.75,Self-employed,50
EUR,NL12FAKE3861853131,NL,Geldmaat ATM,Geldmaat: 056dd550-5c09-491a-be97-ccde37bc7229,2024-06-01,58487.75,Self-employed,50
