acct_ccy,acct_id,ctpty_ctry,ctpty_nm,rmt_inf_ustrd1,year_month,bal_aftr,occupation,age
EUR,NL98BOER9002791658,NL,Apple Inc.,Technology services invoice payment,2024-06-01,8209.17,Student,20
EUR,NL98BOER9002791658,NL,Geldmaat ATM,Geldmaat: 07714d55-b591-41b3-b78b-b2915fbc8964,2024-06-01,8466.17,Student,20
EUR,NL98BOER9002791658,Italy,Raf Heere,Reimbursement for groceries,2024-06-01,8477.91,Student,20
EUR,NL98BOER9002791658,NL,Unilever,Retail goods payment,2024-06-01,8509.67,Student,20
EUR,NL98BOER9002791658,NL,Geldmaat ATM,Geldmaat: e9e20971-ea42-45b3-8fc0-8dfcb41c16c9,2024-06-01,8766.67,Student,20
EUR,NL98BOER9002791658,NL,Geldmaat ATM,Geldmaat: fdd71845-b19b-4020-b78e-2025c84f832e,2024-06-01,9023.67,Student,20
EUR,NL98BOER9002791658,NL,Facebook,Influencer collaboration fee,2024-06-01,9029.85,Student,20
EUR,NL98BOER9002791658,NL,Boeing,Aircraft maintenance,2024-06-01,9042.43,Student,20
EUR,NL98BOER9002791658,NL,Geldmaat ATM,Geldmaat: b81f054e-7302-4a02-a483-d8bdc11b18c5,2024-06-01,9299.43,Student,20
EUR,NL98BOER9002791658,NL,Geldmaat ATM,Geldmaat: 613895e4-555c-4de4-9f2d-61a2bfd7dfef,2024-06-01,9556.43,Student,20
EUR,NL98BOER9002791658,NL,Alphabet Inc.,Technology services invoice payment,2024-06-01,9579.81,Student,20
EUR,NL98BOER9002791658,Denmark,Dell Technologies,Software license fee payment,2024-06-01,9584.39,Student,20
EUR,NL98BOER9002791658,NL,Geldmaat ATM,Geldmaat: 7951ecde-c9a0-4f7a-8b67-d4bd3f30fce3,2024-06-01,9841.39,Student,20
EUR,NL98BOER9002791658,Belgium,Boeing,Aerospace parts purchase,2024-06-01,9843.32,Student,20
EUR,NL98BOER9002791658,NL,Geldmaat ATM,Geldmaat: fbec2e6b-007e-4592-a99a-e7c710734712,2024-06-01,10100.32,Student,20
EUR,NL98BOER9002791658,NL,Geldmaat ATM,Geldmaat: e52a5fd9-825c-4f87-af8f-805076bbd27c,2024-06-01,10127.28,Student,20
EUR,NL98BOER9002791658,NL,Meta Platforms,Cloud storage subscription,2024-06-01,10134.58,Student,20
EUR,NL98BOER9002791658,NL,Geldmaat ATM,Geldmaat: 69d785d9-69d6-47c4-959f-e9985bbf30ee,2024-06-01,10391.58,Student,20
EUR,NL98BOER9002791658,NL,Allianz,Coverage update charge,2024-06-01,10408.27,Student,20
EUR,NL98BOER9002791658,NL,Geldmaat ATM,Geldmaat: 3039c7b9-c94e-411e-888b-a1fa80943835,2024-06-01,10665.27,Student,20
EUR,NL98BOER9002791658,NL,Morgan Stanley,Brokerage fee,2024-06-01,10671.24,Student,20
EUR,NL98BOER9002791658,NL,Geldmaat ATM,Geldmaat: a120adb6-2229-4b7c-9d7f-b961746dfa64,2024-06-01,10928.24,Student,20
EUR,NL98BOER9002791658,United States,Procter & Gamble,Order payment,2024-06-01,10933.55,Student,20
EUR,NL98BOER9002791658,NL,Geldmaat ATM,Geldmaat: 9d2643ff-a37b-446f-a9e7-27b1dcac0c2a,2024-06-01,11190.55,Student,20
EUR,NL98BOER9002791658,NL,Cisco Systems,Technology services invoice payment,2024-06-01,11196.02,Student,20
EUR,NL98BOER9002791658,NL,Geldmaat ATM,Geldmaat: 60204f8d-2e7c-432c-a0f0-f0ce35c7a9e4,2024-06-01,11453.02,Student,20
EUR,NL98BOER9002791658,Hungary,PepsiCo,Beverage order,2024-06-01,11457.41,Student,20
EUR,NL98BOER9002791658,NL,Geldmaat ATM,Geldmaat: 5ce52708-c4ae-46bb-86c4-0eacb204d088,2024-06-01,11714.41,Student,20
EUR,NL98BOER9002791658,Germany,Willem Otte,Split vacation cost,2024-06-01,11730.9,Student,20
EUR,NL98BOER9002791658,NL,Geldmaat ATM,Geldmaat: cd028627-428e-497f-ba20-fdf4fce2fd50,2024-06-01,11987.9,Student,20
EUR,NL98BOER9002791658,NL,Daimler,Car purchase,2024-06-01,12001.55,Student,20
EUR,NL98BOER9002791658,NL,Geldmaat ATM,Geldmaat: 2521fc22-0ccf-416b-9713-13bae2222360,2024-06-01,12258.55,Student,20
EUR,NL98BOER9002791658,Great Britain,Sanofi,Pharmacy bill,2024-06-01,12265.39,Student,20
EUR,NL98BOER9002791658,NL,Geldmaat ATM,Geldmaat: 78cd930e-9c46-4c9b-8189-3e0cdef4444f,2024-06-01,12522.39,Student,20
EUR,NL98BOER9002791658,NL,Geldmaat ATM,Geldmaat: 5f746645-7056-4823-9367-2715ef32957f,2024-06-01,12779.39,Student,20
EUR,NL98BOER9002791658,NL,Daimler,Vehicle service charge,2024-06-01,12783.31,Student,20
EUR,NL98BOER9002791658,Italy,Honeywell,Diversified company fee,2024-06-01,12785.57,Student,20
EUR,NL98BOER9002791658,NL,Geldmaat ATM,Geldmaat: 948b50b9-8f0b-48d4-ab5b-2f1de2bc03bc,2024-06-01,13042.57,Student,20
EUR,NL98BOER9002791658,NL,Phillips 66,Electricity payment,2024-06-01,13055.35,Student,20
EUR,NL98BOER9002791658,United States,Johnson & Johnson,Drug order payment,2024-06-01,13062.23,Student,20
EUR,NL98BOER9002791658,NL,Geldmaat ATM,Geldmaat: 105381b4-139b-4c2d-b5fd-cac82d119abe,2024-06-01,13319.23,Student,20
EUR,NL98BOER9002791658,NL,Alibaba,E-commerce order,2024-06-01,13324.6,Student,20
EUR,NL98BOER9002791658,France,Sami Booden,Rent deposit,2024-06-01,13327.51,Student,20
EUR,NL98BOER9002791658,NL,Geldmaat ATM,Geldmaat: 1081af2c-1e44-49f1-9a11-aea880add67e,2024-06-01,13584.51,Student,20
EUR,NL98BOER9002791658,Germany,Berkshire Hathaway,Conglomerate product order,2024-06-01,13600.58,Student,20
EUR,NL98BOER9002791658,NL,Geldmaat ATM,Geldmaat: 8d93dc56-8f2a-4cef-a194-faecedd77e9d,2024-06-01,13857.58,Student,20
EUR,NL98BOER9002791658,NL,Nike,Fashion brand order,2024-06-01,13892.22,Student,20
EUR,NL98BOER9002791658,NL,Geldmaat ATM,Geldmaat: d60f366c-bf00-412b-9e19-f80131335dab,2024-06-01,14149.22,Student,20
EUR,NL98BOER9002791658,NL,Geldmaat ATM,Geldmaat: ae862dcf-612b-4946-9612-50099fcce5a1,2024-06-01,14406.22,Student,20
EUR,NL98BOER9002791658,NL,Verizon,Data plan payment,2024-06-01,14424.99,Student,20
EUR,NL98BOER9002791658,NL,Geldmaat ATM,Geldmaat: 65149100-b777-44d4-b008-3444b3557e00,2024-06-01,14681.99,Student,20
EUR,NL98BOER9002791658,Canada,DuPont,Diversified company fee,2024-06-01,14690.4,Student,20
