acct_ccy,acct_id,ctpty_ctry,ctpty_nm,rmt_inf_ustrd1,year_month,bal_aftr,occupation,age
USD,US19PONZ3540227750,Italy,Geldmaat ATM,Geldmaat: 60b2cdbd-d43b-4f55-9e30-b5f295f7b6db,2024-06-01,10642.0,Retail worker,28
USD,US19PONZ3540227750,France,Phillips 66,Renewable energy subscription,2024-06-01,10650.78,Retail worker,28
USD,US19PONZ3540227750,NL,Goldman Sachs,Brokerage fee,2024-06-01,10707.24,Retail worker,28
USD,US19PONZ3540227750,Great Britain,Renault,Vehicle service charge,2024-06-01,10715.47,Retail worker,28
USD,US19PONZ3540227750,Italy,Cisco Systems,Software license fee payment,2024-06-01,10751.24,Retail worker,28
USD,US19PONZ3540227750,Great Britain,Pien Bosman,Wedding gift,2024-06-01,10760.98,Retail worker,28
USD,US19PONZ3540227750,Italy,Geldmaat ATM,Geldmaat: 7cd58176-1963-45e9-88ac-1993d862adfd,2024-06-01,13063.98,Retail worker,28
USD,US19PONZ3540227750,NL,Gilead Sciences,Biotech research fee,2024-06-01,13073.86,Retail worker,28
USD,US19PONZ3540227750,Italy,Geldmaat ATM,Geldmaat: 0981e62b-1598-4e82-a24d-765a410f87b6,2024-06-01,15376.86,Retail worker,28
USD,US19PONZ3540227750,Belgium,Amazon,Subscription service,2024-06-01,15471.92,Retail worker,28
USD,US19PONZ3540227750,Germany,GlaxoSmithKline,Drug order payment,2024-06-01,15481.68,Retail worker,28
USD,US19PONZ3540227750,Germany,Max Dachgelt,New baby gift,2024-06-01,15520.02,Retail worker,28
USD,US19PONZ3540227750,NL,GlaxoSmithKline,Drug order payment,2024-06-01,15608.56,Retail worker,28
USD,US19PONZ3540227750,Italy,Geldmaat ATM,Geldmaat: 1c2b587f-6f5c-4957-bf40-efbf2650e4f1,2024-06-01,17911.56,Retail worker,28
USD,US19PONZ3540227750,NL,Cas de Swart,Wedding gift,2024-06-01,17940.06,Retail worker,28
USD,US19PONZ3540227750,Italy,Geldmaat ATM,Geldmaat: 94f02e1f-c52c-4a24-96b1-7658858b8202,2024-06-01,20243.06,Retail worker,28
USD,US19PONZ3540227750,Hungary,Nike,Apparel shopping,2024-06-01,20278.36,Retail worker,28
USD,US19PONZ3540227750,NL,DuPont,Corporate services payment,2024-06-01,20306.39,Retail worker,28
USD,US19PONZ3540227750,NL,Jake van Arnsberg-Verbeek,Shared utilities,2024-06-01,20322.95,Retail worker,28
USD,US19PONZ3540227750,Hungary,Microsoft,Web hosting fee,2024-06-01,20332.93,Retail worker,28
USD,US19PONZ3540227750,France,ByteDance,Web hosting fee,2024-06-01,20336.03,Retail worker,28
USD,US19PONZ3540227750,Italy,Geldmaat ATM,Geldmaat: bbad4c32-b3c9-48ce-9350-df64c1076a04,2024-06-01,22639.03,Retail worker,28
USD,US19PONZ3540227750,NL,GlaxoSmithKline,Drug order payment,2024-06-01,22853.53,Retail worker,28
USD,US19PONZ3540227750,NL,Bayer,Healthcare prescription,2024-06-01,22863.48,Retail worker,28
USD,US19PONZ3540227750,Italy,Geldmaat ATM,Geldmaat: ee12eede-f614-4cea-aec5-7caed371af0a,2024-06-01,25166.48,Retail worker,28
USD,US19PONZ3540227750,NL,Apple Inc.,Cloud storage subscription,2024-06-01,25191.33,Retail worker,28
USD,US19PONZ3540227750,Italy,Duke Energy,Energy supply charge,2024-06-01,25202.32,Retail worker,28
USD,US19PONZ3540227750,NL,Rick Dries,Funeral expenses,2024-06-01,25218.64,Retail worker,28
USD,US19PONZ3540227750,Italy,Geldmaat ATM,Geldmaat: fb2021cd-4f80-426a-a870-09ae9bf03c1a,2024-06-01,27521.64,Retail worker,28
USD,US19PONZ3540227750,NL,ByteDance,Technology services invoice payment,2024-06-01,27550.69,Retail worker,28
USD,US19PONZ3540227750,NL,General Electric,Diversified company fee,2024-06-01,27605.61,Retail worker,28
USD,US19PONZ3540227750,Italy,Geldmaat ATM,Geldmaat: 6f6aecbf-2fe2-4fdd-9621-de13c351f250,2024-06-01,29908.61,Retail worker,28
USD,US19PONZ3540227750,Germany,Evy Oude Heer,Reimbursement for shopping,2024-06-01,29917.89,Retail worker,28
USD,US19PONZ3540227750,Hungary,Johnson & Johnson,Drug order payment,2024-06-01,29930.39,Retail worker,28
USD,US19PONZ3540227750,Italy,Geldmaat ATM,Geldmaat: bddb910e-af36-44ce-bbce-cf69dc88f1b8,2024-06-01,32233.39,Retail worker,28
USD,US19PONZ3540227750,Great Britain,Morris van Emmelen-van Venrooy,Split vacation cost,2024-06-01,32321.95,Retail worker,28
USD,US19PONZ3540227750,Japan,Vajèn Butselaar-van Oostendorp,Birthday gift,2024-06-01,32345.58,Retail worker,28
