acct_ccy,acct_id,ctpty_ctry,ctpty_nm,rmt_inf_ustrd1,year_month,bal_aftr,occupation,age
CAD,CA81VANC9828988889,Austria,Geldmaat ATM,Geldmaat: d5255cc9-4d02-4d66-8e62-b7307bf6c992,2024-06-01,3854.0,Self-employed,50
CAD,CA81VANC9828988889,NL,Josephine de Korte,Shared subscription,2024-06-01,3880.7,Self-employed,50
CAD,CA81VANC9828988889,Great Britain,Airbus,Space exploration fee,2024-06-01,3910.85,Self-employed,50
CAD,CA81VANC9828988889,Austria,Geldmaat ATM,Geldmaat: 654a2c6b-750b-474d-8279-9ee1da4fc515,2024-06-01,5119.85,Self-employed,50
CAD,CA81VANC9828988889,Spain,Koen Wilmont,Gas money,2024-06-01,5131.06,Self-employed,50
CAD,CA81VANC9828988889,Austria,Geldmaat ATM,Geldmaat: cc03cdfb-f911-4337-a228-d420f9e67ac0,2024-06-01,6340.06,Self-employed,50
CAD,CA81VANC9828988889,Austria,Geldmaat ATM,Geldmaat: 05634469-ccbf-48c2-84b7-fbabec9a557a,2024-06-01,7549.06,Self-employed,50
CAD,CA81VANC9828988889,NL,LVMH,High-end product buy,2024-06-01,7567.82,Self-employed,50
CAD,CA81VANC9828988889,Canada,Procter & Gamble,Order payment,2024-06-01,7605.81,Self-employed,50
CAD,CA81VANC9828988889,Austria,Geldmaat ATM,Geldmaat: b202cf10-b0bd-4d3c-8c38-bcdd3a09ddfd,2024-06-01,8814.81,Self-employed,50
CAD,CA81VANC9828988889,Spain,Amélie Bosch,Birthday gift,2024-06-01,8821.18,Self-employed,50
CAD,CA81VANC9828988889,Austria,Geldmaat ATM,Geldmaat: 1ff08743-498e-488f-8ca8-5789c502e45e,2024-06-01,10030.18,Self-employed,50
CAD,CA81VANC9828988889,NL,Zara den Buytelaar,Travel expenses,2024-06-01,10040.25,Self-employed,50
CAD,CA81VANC9828988889,NL,Roche,Medication purchase,2024-06-01,10045.26,Self-employed,50
CAD,CA81VANC9828988889,Canada,Berkshire Hathaway,Business unit invoice,2024-06-01,10051.39,Self-employed,50
CAD,CA81VANC9828988889,Austria,Geldmaat ATM,Geldmaat: 0b550b53-a7dd-493e-9c7a-798462d02f6f,2024-06-01,11260.39,Self-employed,50
CAD,CA81VANC9828988889,Great Britain,Nina van Limburg,Reimbursement for shopping,2024-06-01,11394.15,Self-employed,50
CAD,CA81VANC9828988889,NL,Renault,Car purchase,2024-06-01,11408.71,Self-employed,50
CAD,CA81VANC9828988889,Austria,Geldmaat ATM,Geldmaat: 22fd48c8-cf8f-4092-a235-5fee9bfdcff0,2024-06-01,12617.71,Self-employed,50
CAD,CA81VANC9828988889,NL,Guusje Klein,Graduation gift,2024-06-01,12732.52,Self-employed,50
CAD,CA81VANC9828988889,Austria,Geldmaat ATM,Geldmaat: 828202e0-09a5-4091-a6ee-e8f4c7f67179,2024-06-01,13941.52,Self-employed,50
CAD,CA81VANC9828988889,Austria,Geldmaat ATM,Geldmaat: d2902394-fb8e-4674-95a5-adcf47378fb6,2024-06-01,15150.52,Self-employed,50
