acct_ccy,acct_id,ctpty_ctry,ctpty_nm,rmt_inf_ustrd1,year_month,bal_aftr,occupation,age
GBP,GB45SCAM1216268581,Canada,Geldmaat ATM,Geldmaat: d72a956b-d8b4-4720-9fc5-6d24e7adcd27,2024-06-01,8299.0,Self-employed,50
GBP,GB45SCAM1216268581,Denmark,Johnson & Johnson,Drug order payment,2024-06-01,8390.14,Self-employed,50
GBP,GB45SCAM1216268581,NL,Mara van Breukeleveen-de Hoog,Christmas gift,2024-06-01,8429.11,Self-employed,50
GBP,GB45SCAM1216268581,NL,SoftBank,Corporate services payment,2024-06-01,8461.9,Self-employed,50
GBP,GB45SCAM1216268581,France,ByteDance,Technology services invoice payment,2024-06-01,8471.78,Self-employed,50
GBP,GB45SCAM1216268581,NL,Mustafa van Lucel,Shared meal cost,2024-06-01,8479.9,Self-employed,50
GBP,GB45SCAM1216268581,Canada,Geldmaat ATM,Geldmaat: ef69d2be-a04c-422c-8cea-ca26ff536066,2024-06-01,10420.9,Self-employed,50
GBP,GB45SCAM1216268581,NL,ByteDance,Cloud storage subscription,2024-06-01,10520.64,Self-employed,50
GBP,GB45SCAM1216268581,Canada,Geldmaat ATM,Geldmaat: 5f9c07c9-fcb2-4c87-afd0-da7b0b16002a,2024-06-01,12461.64,Self-employed,50
GBP,GB45SCAM1216268581,NL,Chloé Molegraaf-le Briel,Friend loan repayment,2024-06-01,12472.41,Self-employed,50
GBP,GB45SCAM1216268581,Denmark,Daimler,Vehicle service charge,2024-06-01,12484.08,Self-employed,50
GBP,GB45SCAM1216268581,Spain,Lena Rubben,Debt settlement,2024-06-01,12517.35,Self-employed,50
GBP,GB45SCAM1216268581,Canada,Geldmaat ATM,Geldmaat: 1df8760c-0167-441e-bd9c-431dde4262b4,2024-06-01,14458.35,Self-employed,50
GBP,GB45SCAM1216268581,NL,Meta Platforms,Cloud storage subscription,2024-06-01,14551.71,Self-employed,50
GBP,GB45SCAM1216268581,Canada,Geldmaat ATM,Geldmaat: e08839ae-d02b-4810-83ed-4885f8ee5efb,2024-06-01,16492.71,Self-employed,50
GBP,GB45SCAM1216268581,United States,Kyra Bernaards,Support for a family member,2024-06-01,16538.29,Self-employed,50
GBP,GB45SCAM1216268581,NL,Maartje Groenendaal,Funeral expenses,2024-06-01,16571.57,Self-employed,50
GBP,GB45SCAM1216268581,France,AT&T,Phone bill,2024-06-01,16584.07,Self-employed,50
GBP,GB45SCAM1216268581,Canada,Geldmaat ATM,Geldmaat: 82a07231-3065-48fa-93ed-f86bda3be349,2024-06-01,18525.07,Self-employed,50
GBP,GB45SCAM1216268581,NL,Karlijn van Dillen,Shared ride expenses,2024-06-01,18561.54,Self-employed,50
GBP,GB45SCAM1216268581,NL,Microsoft,Web hosting fee,2024-06-01,18762.26,Self-employed,50
GBP,GB45SCAM1216268581,NL,Sanofi,Healthcare prescription,2024-06-01,18775.62,Self-employed,50
GBP,GB45SCAM1216268581,Canada,Geldmaat ATM,Geldmaat: 64afbe68-100a-4b71-9ea0-8d186a7e4c82,2024-06-01,20716.62,Self-employed,50
GBP,GB45SCAM1216268581,Germany,IBM,Software license fee payment,2024-06-01,20723.78,Self-employed,50
GBP,GB45SCAM1216268581,Canada,Geldmaat ATM,Geldmaat: 47506472-f53b-421d-91b7-81fc599694b6,2024-06-01,22664.78,Self-employed,50
GBP,GB45SCAM1216268581,NL,Mitsubishi,Conglomerate product order,2024-06-01,22706.82,Self-employed,50
GBP,GB45SCAM1216268581,Canada,AstraZeneca,Medication purchase,2024-06-01,22762.47,Self-employed,50
GBP,GB45SCAM1216268581,Canada,Geldmaat ATM,Geldmaat: 131e34e4-75c0-4a6a-aa74-2828fc1e633f,2024-06-01,24703.47,Self-employed,50
GBP,GB45SCAM1216268581,NL,Amazon,Marketplace seller fee,2024-06-01,24720.77,Self-employed,50
GBP,GB45SCAM1216268581,Canada,PepsiCo,Catering service fee,2024-06-01,24728.74,Self-employed,50
GBP,GB45SCAM1216268581,Great Britain,Daimler,Car purchase,2024-06-01,24738.82,Self-employed,50
GBP,GB45SCAM1216268581,NL,Yara Claassen,Birthday gift,2024-06-01,24752.61,Self-employed,50
GBP,GB45SCAM1216268581,Canada,Geldmaat ATM,Geldmaat: 88d24b5c-976d-4278-9078-c94d5817c529,2024-06-01,26693.61,Self-employed,50
GBP,GB45SCAM1216268581,NL,Gilead Sciences,Clinical trial payment,2024-06-01,26694.73,Self-employed,50
