acct_ccy,acct_id,ctpty_ctry,ctpty_nm,rmt_inf_ustrd1,year_month,bal_aftr,occupation,age
J,JP77NISE1206039833,NL,Apple Inc.,Cloud storage subscription,2024-06-01,7311.05,Professional,45
J,JP77NISE1206039833,NL,Geldmaat ATM,Geldmaat: a4026a20-0f7d-4af9-9de5-ee09e3ba1947,2024-06-01,12131.05,Professional,45
J,JP77NISE1206039833,Italy,Ford Motor,Car parts order,2024-06-01,12179.38,Professional,45
J,JP77NISE1206039833,NL,Geldmaat ATM,Geldmaat: 1d178027-fe1a-4207-933a-2d9bda59af8c,2024-06-01,12204.55,Professional,45
J,JP77NISE1206039833,NL,Pfizer,Healthcare prescription,2024-06-01,12246.52,Professional,45
J,JP77NISE1206039833,NL,Guus Mudden,Housewarming gift,2024-06-01,12261.01,Professional,45
J,JP77NISE1206039833,NL,Duke Energy,Utility bill,2024-06-01,12267.76,Professional,45
J,JP77NISE1206039833,Germany,IBM,Technology services invoice payment,2024-06-01,12272.02,Professional,45
J,JP77NISE1206039833,Canada,Microsoft,Cloud storage subscription,2024-06-01,12278.48,Professional,45
J,JP77NISE1206039833,Great Britain,Tata Consultancy Services,Software development bill,2024-06-01,12302.26,Professional,45
J,JP77NISE1206039833,NL,Geldmaat ATM,Geldmaat: dc3d4514-3188-4911-8a9e-4d30e1675862,2024-06-01,17122.26,Professional,45
J,JP77NISE1206039833,Germany,Goldman Sachs,Stock purchase,2024-06-01,17133.73,Professional,45
J,JP77NISE1206039833,NL,Meta Platforms,Web hosting fee,2024-06-01,17188.95,Professional,45
J,JP77NISE1206039833,NL,Accenture,Advisory session charge,2024-06-01,17307.25,Professional,45
J,JP77NISE1206039833,NL,Geldmaat ATM,Geldmaat: a832f4f3-962e-48b2-bd56-dbb4c469a25c,2024-06-01,22127.25,Professional,45
J,JP77NISE1206039833,NL,3M,Diversified company fee,2024-06-01,22230.14,Professional,45
J,JP77NISE1206039833,NL,Airbus,Space exploration fee,2024-06-01,22275.22,Professional,45
J,JP77NISE1206039833,NL,Novartis,Medication purchase,2024-06-01,22281.64,Professional,45
J,JP77NISE1206039833,Italy,Tata Consultancy Services,Software development bill,2024-06-01,22285.29,Professional,45
J,JP77NISE1206039833,NL,Geldmaat ATM,Geldmaat: f42d1de9-c7e0-4734-8bb8-41f91ac5b703,2024-06-01,27105.29,Professional,45
J,JP77NISE1206039833,NL,Geldmaat ATM,Geldmaat: a5f80c1b-8fc7-4eda-b049-dc5b52c33cbe,2024-06-01,31925.29,Professional,45
J,JP77NISE1206039833,Hungary,Oracle,Cloud storage subscription,2024-06-01,32066.0,Professional,45
J,JP77NISE1206039833,United States,Honeywell,Diversified company fee,2024-06-01,32138.95,Professional,45
J,JP77NISE1206039833,NL,Procter & Gamble,Subscription box service,2024-06-01,32158.94,Professional,45
J,JP77NISE1206039833,NL,Geldmaat ATM,Geldmaat: c2160c81-324c-488e-9c29-caf7981da8c9,2024-06-01,32295.3,Professional,45
J,JP77NISE1206039833,NL,Geldmaat ATM,Geldmaat: 1073f3b5-cce9-4baa-90f1-42365ad00e5c,2024-06-01,37115.3,Professional,45
J,JP77NISE1206039833,Spain,SoftBank,Corporate services payment,2024-06-01,37118.81,Professional,45
J,JP77NISE1206039833,NL,Ford Motor,Car purchase,2024-06-01,37208.63,Professional,45
J,JP77NISE1206039833,NL,Geldmaat ATM,Geldmaat: 15f198b1-a22a-401a-ba79-332f236b3f6a,2024-06-01,42028.63,Professional,45
J,JP77NISE1206039833,France,Phillips 66,Utility bill,2024-06-01,42119.36,Professional,45
J,JP77NISE1206039833,NL,BASF,Chemical supply order,2024-06-01,42125.31,Professional,45
J,JP77NISE1206039833,NL,Novartis,Medication purchase,2024-06-01,42244.23,Professional,45
J,JP77NISE1206039833,NL,Geldmaat ATM,Geldmaat: aa03aaa9-b662-4cd5-a143-9b7be8a2513d,2024-06-01,47064.23,Professional,45
J,JP77NISE1206039833,NL,Vince Heyne-Terry,Shared subscription,2024-06-01,47089.73,Professional,45
J,JP77NISE1206039833,NL,Geldmaat ATM,Geldmaat: 650e60e0-5497-4c72-9ba4-f47551da113e,2024-06-01,51909.73,Professional,45
J,JP77NISE1206039833,Germany,Sanofi,Pharmacy bill,2024-06-01,52010.19,Professional,45
J,JP77NISE1206039833,Canada,Merck & Co.,Pharmacy bill,2024-06-01,52015.77,Professional,45
J,JP77NISE1206039833,NL,Geldmaat ATM,Geldmaat: 755ac7e0-c112-4825-bd6e-acae7fab4154,2024-06-01,56835.77,Professional,45
J,JP77NISE1206039833,United States,Meike Bellemans-Haneberg,Rent payment,2024-06-01,57381.4,Professional,45
J,JP77NISE1206039833,France,Allianz,Policy renewal fee,2024-06-01,57456.95,Professional,45
J,JP77NISE1206039833,NL,Geldmaat ATM,Geldmaat: 679a0a7d-a185-490f-be08-be8f050c091e,2024-06-01,62276.95,Professional,45
