acct_ccy,acct_id,ctpty_ctry,ctpty_nm,rmt_inf_ustrd1,year_month,bal_aftr,occupation,age
EUR,NL05YEPP5158745260,NL,Allianz,Policy renewal fee,2024-06-01,1950.58,Professional,45
EUR,NL05YEPP5158745260,Great Britain,LVMH,High-end product buy,2024-06-01,1970.57,Professional,45
EUR,NL05YEPP5158745260,Canada,ByteDance,Web hosting fee,2024-06-01,2013.9,Professional,45
EUR,NL05YEPP5158745260,NL,Morgan Stanley,Brokerage fee,2024-06-01,2043.68,Professional,45
EUR,NL05YEPP5158745260,NL,Ford Motor,Car parts order,2024-06-01,2045.15,Professional,45
EUR,NL05YEPP5158745260,Great Britain,Geldmaat ATM,Geldmaat: b9db7b67-7b0e-4046-9cd6-f89113bccf36,2024-06-01,6541.15,Professional,45
EUR,NL05YEPP5158745260,Germany,SoftBank,Business unit invoice,2024-06-01,6634.97,Professional,45
EUR,NL05YEPP5158745260,NL,Procter & Gamble,Subscription box service,2024-06-01,6640.62,Professional,45
EUR,NL05YEPP5158745260,Great Britain,Geldmaat ATM,Geldmaat: e01dfb11-5f81-4d6d-8ae6-789b2fab26d9,2024-06-01,11136.62,Professional,45
EUR,NL05YEPP5158745260,NL,Toyota,Vehicle service charge,2024-06-01,11222.27,Professional,45
EUR,NL05YEPP5158745260,NL,Allianz,Policy renewal fee,2024-06-01,11235.86,Professional,45
EUR,NL05YEPP5158745260,Great Britain,Geldmaat ATM,Geldmaat: ca29826f-4c6d-4e31-aecf-5141b3667f97,2024-06-01,15731.86,Professional,45
EUR,NL05YEPP5158745260,Canada,Accenture,Professional service invoice,2024-06-01,15768.25,Professional,45
EUR,NL05YEPP5158745260,Canada,Cisco Systems,Web hosting fee,2024-06-01,15772.94,Professional,45
EUR,NL05YEPP5158745260,NL,Boeing,Aviation technology fee,2024-06-01,15804.38,Professional,45
EUR,NL05YEPP5158745260,Great Britain,Geldmaat ATM,Geldmaat: 4b979508-d577-4479-bdbc-9fa4486c6320,2024-06-01,20300.38,Professional,45
EUR,NL05YEPP5158745260,United States,Oracle,Web hosting fee,2024-06-01,20313.49,Professional,45
EUR,NL05YEPP5158745260,Canada,Verizon,Data plan payment,2024-06-01,20318.54,Professional,45
EUR,NL05YEPP5158745260,NL,Pfizer,Drug order payment,2024-06-01,20378.37,Professional,45
EUR,NL05YEPP5158745260,NL,Senna Mulders,Party contribution,2024-06-01,20407.68,Professional,45
EUR,NL05YEPP5158745260,Great Britain,Geldmaat ATM,Geldmaat: d51d78a8-a2e8-437f-be30-c0c5af6a1c43,2024-06-01,24903.68,Professional,45
EUR,NL05YEPP5158745260,NL,DuPont,Business unit invoice,2024-06-01,24909.58,Professional,45
EUR,NL05YEPP5158745260,Great Britain,Geldmaat ATM,Geldmaat: 0dcc569c-ea18-407b-83e5-e8183847c0f6,2024-06-01,29405.58,Professional,45
EUR,NL05YEPP5158745260,NL,Amazon,Marketplace seller fee,2024-06-01,29448.79,Professional,45
EUR,NL05YEPP5158745260,NL,Allianz,Claim settlement,2024-06-01,29479.77,Professional,45
EUR,NL05YEPP5158745260,NL,Oracle,Web hosting fee,2024-06-01,29487.23,Professional,45
EUR,NL05YEPP5158745260,Great Britain,Geldmaat ATM,Geldmaat: 45746471-544a-4f22-9e06-7fc04a231e10,2024-06-01,33983.23,Professional,45
EUR,NL05YEPP5158745260,NL,Lot van Boulogne,Emergency funds,2024-06-01,34026.44,Professional,45
EUR,NL05YEPP5158745260,Japan,SoftBank,Corporate services payment,2024-06-01,34052.96,Professional,45
EUR,NL05YEPP5158745260,NL,Meta Platforms,Web hosting fee,2024-06-01,34063.55,Professional,45
EUR,NL05YEPP5158745260,Denmark,Inaya The Elder-Honing,Birthday gift,2024-06-01,34081.02,Professional,45
EUR,NL05YEPP5158745260,Great Britain,Geldmaat ATM,Geldmaat: 23d8aa93-a8ce-4adc-a906-7232d160d4a5,2024-06-01,38577.02,Professional,45
EUR,NL05YEPP5158745260,Great Britain,Alibaba,E-commerce order,2024-06-01,38591.99,Professional,45
EUR,NL05YEPP5158745260,NL,Johnson & Johnson,Medication purchase,2024-06-01,38627.25,Professional,45
EUR,NL05YEPP5158745260,Great Britain,Charlotte Rubben,Reimbursement for travel,2024-06-01,38631.28,Professional,45
EUR,NL05YEPP5158745260,NL,Ecrin de Vrome,Split restaurant bill,2024-06-01,38702.64,Professional,45
EUR,NL05YEPP5158745260,Great Britain,Geldmaat ATM,Geldmaat: 23942b93-d7db-4fbb-8391-7754b53a476a,2024-06-01,43198.64,Professional,45
EUR,NL05YEPP5158745260,NL,Maria Blonk-Le Grand,Shared subscription,2024-06-01,43223.2,Professional,45
EUR,NL05YEPP5158745260,NL,Oracle,Web hosting fee,2024-06-01,43251.41,Professional,45
EUR,NL05YEPP5158745260,Spain,General Electric,Corporate services payment,2024-06-01,43291.86,Professional,45
EUR,NL05YEPP5158745260,Great Britain,Geldmaat ATM,Geldmaat: 7ad51037-a1eb-4dd4-8935-ed2f75a4b5a1,2024-06-01,47787.86,Professional,45
EUR,NL05YEPP5158745260,NL,Ford Motor,Auto repair bill,2024-06-01,47840.46,Professional,45
EUR,NL05YEPP5158745260,NL,Facebook,Influencer collaboration fee,2024-06-01,47857.22,Professional,45
EUR,NL05YEPP5158745260,Japan,AT&T,Phone bill,2024-06-01,47864.29,Professional,45
