acct_ccy,acct_id,ctpty_ctry,ctpty_nm,rmt_inf_ustrd1,year_month,bal_aftr,occupation,age
EUR,NL12FAKE9496429049,NL,Oracle,Web hosting fee,2024-06-01,2820.45,Self-employed,50
EUR,NL12FAKE9496429049,NL,Geldmaat ATM,Geldmaat: 3e5c4d24-d324-4837-accf-09f91c7450f9,2024-06-01,4767.45,Self-employed,50
EUR,NL12FAKE9496429049,United States,Zeynep Doornhem-Rijn,Loan repayment,2024-06-01,4793.12,Self-employed,50
EUR,NL12FAKE9496429049,NL,Ford Motor,Car purchase,2024-06-01,4835.34,Self-employed,50
EUR,NL12FAKE9496429049,NL,Geldmaat ATM,Geldmaat: 209c494d-9170-422f-8b5a-909dc6cd571f,2024-06-01,6782.34,Self-employed,50
EUR,NL12FAKE9496429049,NL,Rosalie Hazenveld,Medical bills,2024-06-01,6814.55,Self-employed,50
EUR,NL12FAKE9496429049,NL,Geldmaat ATM,Geldmaat: f914ee0b-a3b1-4d42-8142-8048a4f476c4,2024-06-01,8761.55,Self-employed,50
EUR,NL12FAKE9496429049,NL,Mitsubishi,Conglomerate product order,2024-06-01,8801.42,Self-employed,50
EUR,NL12FAKE9496429049,NL,Geldmaat ATM,Geldmaat: 23c0477a-49bb-4af7-9bb2-f1926e609fe1,2024-06-01,10748.42,Self-employed,50
EUR,NL12FAKE9496429049,Canada,Isabella van der Linden,Medical bills,2024-06-01,10804.36,Self-employed,50
EUR,NL12FAKE9496429049,NL,Geldmaat ATM,Geldmaat: 77b5b20f-7dc7-4c4a-b5de-812061a7b844,2024-06-01,12751.36,Self-employed,50
EUR,NL12FAKE9496429049,NL,Geldmaat ATM,Geldmaat: b94f5520-a4c5-4db8-b52e-f4dadad94d8c,2024-06-01,12768.17,Self-employed,50
EUR,NL12FAKE9496429049,NL,Olivier Helmerhorst,New baby gift,2024-06-01,12784.99,Self-employed,50
EUR,NL12FAKE9496429049,NL,Geldmaat ATM,Geldmaat: 56b51d4c-77c0-4018-ab78-6df3a0765899,2024-06-01,14731.99,Self-employed,50
EUR,NL12FAKE9496429049,NL,3M,Business unit invoice,2024-06-01,14769.91,Self-employed,50
EUR,NL12FAKE9496429049,NL,Geldmaat ATM,Geldmaat: 2fafbe98-92e9-446a-871f-bdfc8043b66a,2024-06-01,16716.91,Self-employed,50
EUR,NL12FAKE9496429049,NL,Ize van Allemanië,Medical bills,2024-06-01,16731.02,Self-employed,50
EUR,NL12FAKE9496429049,NL,Geldmaat ATM,Geldmaat: 1e42c659-a69c-40e5-ad48-9beb7d43bb12,2024-06-01,18678.02,Self-employed,50
EUR,NL12FAKE9496429049,Hungary,Fiene van der Spaendonck-van Amstel,Graduation gift,2024-06-01,18740.49,Self-employed,50
EUR,NL12FAKE9496429049,NL,Zoë Mansvelt,Reimbursement for groceries,2024-06-01,18745.92,Self-employed,50
EUR,NL12FAKE9496429049,NL,Geldmaat ATM,Geldmaat: 80c6b950-83d5-4e4e-8631-d515651d3e4e,2024-06-01,20692.92,Self-employed,50
EUR,NL12FAKE9496429049,NL,Giovanni Mathurin-Kuilenburg,Family loan repayment,2024-06-01,20704.0,Self-employed,50
EUR,NL12FAKE9496429049,NL,Senna van der Laarse-Perrono,Birthday party expenses,2024-06-01,20705.5,Self-employed,50
