acct_ccy,acct_id,ctpty_ctry,ctpty_nm,rmt_inf_ustrd1,year_month,bal_aftr,occupation,age
EUR,NL98BOER4173057191,Great Britain,Geldmaat ATM,Geldmaat: d62b34f6-df25-4c12-a6ac-34cdf2ff1200,2024-06-01,9961.01,Self-employed,50
EUR,NL98BOER4173057191,NL,Geldmaat ATM,Geldmaat: abd389ee-4c20-4bdd-bc45-aa634f708bf0,2024-06-01,11691.01,Self-employed,50
EUR,NL98BOER4173057191,NL,Zoë Maaswinkel,Loan to friend,2024-06-01,11717.01,Self-employed,50
EUR,NL98BOER4173057191,NL,Geldmaat ATM,Geldmaat: cb8b7f15-ce52-4814-ae99-a531adcf09f3,2024-06-01,13447.01,Self-employed,50
EUR,NL98BOER4173057191,Germany,Bristol-Myers Squibb,Pharmacy bill,2024-06-01,13474.66,Self-employed,50
EUR,NL98BOER4173057191,NL,Bristol-Myers Squibb,Healthcare prescription,2024-06-01,13491.08,Self-employed,50
EUR,NL98BOER4173057191,Belgium,Geldmaat ATM,Geldmaat: 8ce8a855-183a-459d-a0b0-50af4880e958,2024-06-01,13689.69,Self-employed,50
EUR,NL98BOER4173057191,Great Britain,Nisa de Graaf,Support for a family member,2024-06-01,13728.25,Self-employed,50
EUR,NL98BOER4173057191,NL,Geldmaat ATM,Geldmaat: 22d7fc70-9028-49b3-837a-8849db3a3ee6,2024-06-01,15458.25,Self-employed,50
EUR,NL98BOER4173057191,NL,Daimler,Car purchase,2024-06-01,15546.07,Self-employed,50
EUR,NL98BOER4173057191,NL,Geldmaat ATM,Geldmaat: 404af4b8-717d-436d-9d4b-b4ba7c970125,2024-06-01,17276.07,Self-employed,50
EUR,NL98BOER4173057191,Belgium,Sem Hoelen-Ariens,Shared meal cost,2024-06-01,17292.75,Self-employed,50
EUR,NL98BOER4173057191,NL,Phillips 66,Utility bill,2024-06-01,17297.03,Self-employed,50
EUR,NL98BOER4173057191,United States,Tim van de Biesenbos,Personal loan,2024-06-01,17304.38,Self-employed,50
EUR,NL98BOER4173057191,NL,Apple Inc.,Technology services invoice payment,2024-06-01,17335.07,Self-employed,50
EUR,NL98BOER4173057191,NL,Geldmaat ATM,Geldmaat: 3cb570d3-b11a-4584-87ba-70e671fce017,2024-06-01,19065.07,Self-employed,50
EUR,NL98BOER4173057191,NL,Berkshire Hathaway,Conglomerate product order,2024-06-01,19080.09,Self-employed,50
EUR,NL98BOER4173057191,NL,Geldmaat ATM,Geldmaat: a6599359-41ed-4ff1-9217-04758fe1df0d,2024-06-01,20810.09,Self-employed,50
EUR,NL98BOER4173057191,NL,Geldmaat ATM,Geldmaat: 7f388e2e-dec9-4b32-bd39-c17d52469492,2024-06-01,20971.41,Self-employed,50
EUR,NL98BOER4173057191,NL,GlaxoSmithKline,Medication purchase,2024-06-01,20993.96,Self-employed,50
EUR,NL98BOER4173057191,NL,LVMH,Exclusive brand fee,2024-06-01,21051.12,Self-employed,50
EUR,NL98BOER4173057191,NL,Geldmaat ATM,Geldmaat: 29734197-878e-4340-8506-f2da93837d5c,2024-06-01,22781.12,Self-employed,50
EUR,NL98BOER4173057191,NL,Procter & Gamble,Product purchase,2024-06-01,22821.91,Self-employed,50
EUR,NL98BOER4173057191,Germany,Alphabet Inc.,Technology services invoice payment,2024-06-01,22831.99,Self-employed,50
EUR,NL98BOER4173057191,NL,Geldmaat ATM,Geldmaat: 4f69013e-3115-4583-b462-7046f7d74e7d,2024-06-01,24561.99,Self-employed,50
EUR,NL98BOER4173057191,NL,Geldmaat ATM,Geldmaat: 9c2da565-48a1-4065-932d-b61313aa69fd,2024-06-01,26291.99,Self-employed,50
EUR,NL98BOER4173057191,Italy,Ryan Vertooren,Reimbursement for groceries,2024-06-01,26292.66,Self-employed,50
EUR,NL98BOER4173057191,Great Britain,General Electric,Corporate services payment,2024-06-01,26337.47,Self-employed,50
EUR,NL98BOER4173057191,NL,Geldmaat ATM,Geldmaat: 1dcfd8f5-7666-4189-91bf-4ae065f4a9ca,2024-06-01,28067.47,Self-employed,50
EUR,NL98BOER4173057191,NL,AstraZeneca,Healthcare prescription,2024-06-01,28128.46,Self-employed,50
EUR,NL98BOER4173057191,NL,Geldmaat ATM,Geldmaat: 1d515c7b-c41a-4aaa-9ea4-b6bf60bd3d05,2024-06-01,29858.46,Self-employed,50
EUR,NL98BOER4173057191,NL,Procter & Gamble,Order payment,2024-06-01,29956.96,Self-employed,50
EUR,NL98BOER4173057191,NL,Jari van Oostendorp,Vacation expenses,2024-06-01,29976.47,Self-employed,50
EUR,NL98BOER4173057191,NL,GlaxoSmithKline,Healthcare prescription,2024-06-01,29982.94,Self-employed,50
EUR,NL98BOER4173057191,NL,Geldmaat ATM,Geldmaat: 812f4c0e-a100-4817-bea2-5dd53d1e7376,2024-06-01,31712.94,Self-employed,50
EUR,NL98BOER4173057191,NL,Facebook,Premium account upgrade,2024-06-01,31722.34,Self-employed,50
EUR,NL98BOER4173057191,Italy,Jip Schakelaar-Jurrijens,Shared ride expenses,2024-06-01,31746.29,Self-employed,50
EUR,NL98BOER4173057191,NL,Bristol-Myers Squibb,Medication purchase,2024-06-01,31753.64,Self-employed,50
EUR,NL98BOER4173057191,Canada,Bayer,Drug order payment,2024-06-01,31836.88,Self-employed,50
EUR,NL98BOER4173057191,NL,Alphabet Inc.,Software license fee payment,2024-06-01,31850.18,Self-employed,50
EUR,NL98BOER4173057191,NL,Geldmaat ATM,Geldmaat: a0d4dcaa-79cd-4ed5-91d3-46b243997d5d,2024-06-01,33580.18,Self-employed,50
EUR,NL98BOER4173057191,NL,Daimler,Car purchase,2024-06-01,33623.25,Self-employed,50
EUR,NL98BOER4173057191,Canada,Procter & Gamble,Order payment,2024-06-01,33651.64,Self-employed,50
EUR,NL98BOER4173057191,United States,Tata Consultancy Services,System upgrade fee,2024-06-01,33660.45,Self-employed,50
EUR,NL98BOER4173057191,United States,AT&T,Cable service subscription,2024-06-01,33776.94,Self-employed,50
EUR,NL98BOER4173057191,NL,Boeing,Aerospace parts purchase,2024-06-01,33790.36,Self-employed,50
EUR,NL98BOER4173057191,NL,Geldmaat ATM,Geldmaat: 6177f8aa-9b8a-42a6-8ff3-bb24172225ee,2024-06-01,35520.36,Self-employed,50
EUR,NL98BOER4173057191,Canada,BMW,Car parts order,2024-06-01,35537.22,Self-employed,50
EUR,NL98BOER4173057191,NL,Geldmaat ATM,Geldmaat: 4a046ca1-3b60-48cb-87c0-be6dfecb1407,2024-06-01,37267.22,Self-employed,50
EUR,NL98BOER4173057191,NL,Microsoft,Technology services invoice payment,2024-06-01,37308.13,Self-employed,50
EUR,NL98BOER4173057191,NL,Unilever,Order payment,2024-06-01,37423.22,Self-employed,50
EUR,NL98BOER4173057191,NL,Geldmaat ATM,Geldmaat: 43e9e551-e719-4d6e-98e7-4983da1b195e,2024-06-01,39153.22,Self-employed,50
EUR,NL98BOER4173057191,Canada,Sanofi,Pharmacy bill,2024-06-01,39159.07,Self-employed,50
EUR,NL98BOER4173057191,NL,Geldmaat ATM,Geldmaat: 7e9d4393-2e65-4ed0-a2b8-7828938e0058,2024-06-01,40889.07,Self-employed,50
EUR,NL98BOER4173057191,Hungary,Lieve Lemmens,Housewarming gift,2024-06-01,40931.05,Self-employed,50
EUR,NL98BOER4173057191,NL,Bristol-Myers Squibb,Pharmacy bill,2024-06-01,40953.71,Self-employed,50
