acct_ccy,acct_id,ctpty_ctry,ctpty_nm,rmt_inf_ustrd1,year_month,bal_aftr,occupation,age
USD,US19PONZ1113397243,Great Britain,Geldmaat ATM,Geldmaat: ca88d70e-fe14-4adf-94b5-ba87c622d41b,2024-06-01,428.93,Retail worker,28
USD,US19PONZ1113397243,Canada,Dell Technologies,Software license fee payment,2024-06-01,463.17,Retail worker,28
USD,US19PONZ1113397243,NL,Geldmaat ATM,Geldmaat: f06cb080-08f6-4412-9195-ab8e7bed1793,2024-06-01,2648.17,Retail worker,28
USD,US19PONZ1113397243,United States,Procter & Gamble,Order payment,2024-06-01,2694.47,Retail worker,28
USD,US19PONZ1113397243,NL,Tata Consultancy Services,IT support fee,2024-06-01,2717.79,Retail worker,28
USD,US19PONZ1113397243,NL,Geldmaat ATM,Geldmaat: 2624999b-e705-4714-b2a7-bac190862fd5,2024-06-01,4902.79,Retail worker,28
USD,US19PONZ1113397243,NL,Mirte Guit,Shared utilities,2024-06-01,4918.76,Retail worker,28
USD,US19PONZ1113397243,NL,PepsiCo,Catering service fee,2024-06-01,4928.69,Retail worker,28
USD,US19PONZ1113397243,NL,Geldmaat ATM,Geldmaat: 87d12a46-d0e2-430a-b94e-019cb8f66b5c,2024-06-01,7113.69,Retail worker,28
USD,US19PONZ1113397243,NL,Sara van Dijk-Mangel,Dinner reimbursement,2024-06-01,7138.91,Retail worker,28
USD,US19PONZ1113397243,NL,Phillips 66,Utility bill,2024-06-01,7148.85,Retail worker,28
USD,US19PONZ1113397243,NL,Phillips 66,Electricity payment,2024-06-01,7157.6,Retail worker,28
USD,US19PONZ1113397243,Great Britain,Geldmaat ATM,Geldmaat: a488bf2e-4d81-4d74-8a6b-1c7f3b8bd7c9,2024-06-01,7176.03,Retail worker,28
USD,US19PONZ1113397243,NL,Geldmaat ATM,Geldmaat: 271f9fd7-7f60-49de-8640-c06cc7e5d235,2024-06-01,9361.03,Retail worker,28
USD,US19PONZ1113397243,NL,Apple Inc.,Software license fee payment,2024-06-01,9387.85,Retail worker,28
USD,US19PONZ1113397243,NL,Geldmaat ATM,Geldmaat: b03668d6-c7ad-4eeb-b5c5-fd492331190d,2024-06-01,11572.85,Retail worker,28
USD,US19PONZ1113397243,United States,Unilever,Retail goods payment,2024-06-01,11615.26,Retail worker,28
USD,US19PONZ1113397243,United States,Bristol-Myers Squibb,Pharmacy bill,2024-06-01,11648.24,Retail worker,28
USD,US19PONZ1113397243,Canada,Geldmaat ATM,Geldmaat: cee75e3f-1c4f-4461-96d5-dd308ee1b8c4,2024-06-01,11668.16,Retail worker,28
USD,US19PONZ1113397243,NL,Honeywell,Corporate services payment,2024-06-01,11682.69,Retail worker,28
USD,US19PONZ1113397243,NL,Geldmaat ATM,Geldmaat: 278ef12a-2541-43f1-9417-0eacb17ab753,2024-06-01,13867.69,Retail worker,28
USD,US19PONZ1113397243,NL,Procter & Gamble,Order payment,2024-06-01,13933.61,Retail worker,28
USD,US19PONZ1113397243,NL,Geldmaat ATM,Geldmaat: a99e777a-6fbd-4c44-9982-3e3efd80e0e7,2024-06-01,16118.61,Retail worker,28
USD,US19PONZ1113397243,NL,Nike,Sportswear buy,2024-06-01,16202.79,Retail worker,28
USD,US19PONZ1113397243,Belgium,Duke Energy,Energy supply charge,2024-06-01,16241.54,Retail worker,28
USD,US19PONZ1113397243,Canada,Verizon,Cable service subscription,2024-06-01,16250.58,Retail worker,28
USD,US19PONZ1113397243,NL,Geldmaat ATM,Geldmaat: de29f260-39c6-45fa-b64c-d8439ed16ed8,2024-06-01,18435.58,Retail worker,28
USD,US19PONZ1113397243,NL,Goldman Sachs,Stock purchase,2024-06-01,18446.22,Retail worker,28
USD,US19PONZ1113397243,NL,Geldmaat ATM,Geldmaat: ce10ef17-8d96-403b-9949-2b622e1d87b2,2024-06-01,20631.22,Retail worker,28
USD,US19PONZ1113397243,Canada,Geldmaat ATM,Geldmaat: 018532c3-dde8-4137-a4af-049c4406cbec,2024-06-01,20666.45,Retail worker,28
USD,US19PONZ1113397243,NL,Yasmine van Lucel,Dinner reimbursement,2024-06-01,20672.46,Retail worker,28
USD,US19PONZ1113397243,NL,General Electric,Conglomerate product order,2024-06-01,20755.42,Retail worker,28
USD,US19PONZ1113397243,NL,Geldmaat ATM,Geldmaat: 55be77d5-e625-4e49-9879-b4102a55c264,2024-06-01,22940.42,Retail worker,28
USD,US19PONZ1113397243,Denmark,Oracle,Cloud storage subscription,2024-06-01,22959.21,Retail worker,28
USD,US19PONZ1113397243,NL,Geldmaat ATM,Geldmaat: 8d5fd0fd-954e-4492-bdbc-35a05a2b6ebc,2024-06-01,25144.21,Retail worker,28
USD,US19PONZ1113397243,Italy,Berkshire Hathaway,Business unit invoice,2024-06-01,25162.8,Retail worker,28
USD,US19PONZ1113397243,NL,Bristol-Myers Squibb,Healthcare prescription,2024-06-01,25191.3,Retail worker,28
USD,US19PONZ1113397243,NL,Geldmaat ATM,Geldmaat: ffb67f23-bf17-4147-9fd0-ab14df7fec11,2024-06-01,27376.3,Retail worker,28
USD,US19PONZ1113397243,France,Evi Huisman,Support money,2024-06-01,27441.52,Retail worker,28
USD,US19PONZ1113397243,NL,Phillips 66,Electricity payment,2024-06-01,27449.73,Retail worker,28
USD,US19PONZ1113397243,NL,Geldmaat ATM,Geldmaat: 4590e8db-a056-4ddc-aff0-c4b502cd416d,2024-06-01,29634.73,Retail worker,28
USD,US19PONZ1113397243,NL,Apple Inc.,Software license fee payment,2024-06-01,29641.0,Retail worker,28
USD,US19PONZ1113397243,NL,Huawei,Technology services invoice payment,2024-06-01,29654.78,Retail worker,28
USD,US19PONZ1113397243,NL,SoftBank,Corporate services payment,2024-06-01,29675.78,Retail worker,28
USD,US19PONZ1113397243,NL,Carlijn Kuijpers,Shared subscription,2024-06-01,29703.46,Retail worker,28
USD,US19PONZ1113397243,Japan,Honeywell,Business unit invoice,2024-06-01,29741.84,Retail worker,28
USD,US19PONZ1113397243,NL,Geldmaat ATM,Geldmaat: f400bfc9-493b-4938-a97e-3c4d0994fa90,2024-06-01,31926.84,Retail worker,28
USD,US19PONZ1113397243,NL,Geldmaat ATM,Geldmaat: 081489a5-bf78-4cb9-b347-200ee204a705,2024-06-01,34111.84,Retail worker,28
USD,US19PONZ1113397243,NL,Toyota,Car purchase,2024-06-01,34145.64,Retail worker,28
USD,US19PONZ1113397243,NL,ByteDance,Cloud storage subscription,2024-06-01,34169.41,Retail worker,28
USD,US19PONZ1113397243,NL,Ford Motor,Vehicle service charge,2024-06-01,34207.21,Retail worker,28
USD,US19PONZ1113397243,United States,Morgan Stanley,Capital markets service,2024-06-01,34229.13,Retail worker,28
USD,US19PONZ1113397243,NL,Geldmaat ATM,Geldmaat: 2b89b713-561f-4f99-b1b1-d94228f5002e,2024-06-01,36414.13,Retail worker,28
USD,US19PONZ1113397243,NL,Geldmaat ATM,Geldmaat: 1b2c021e-31ac-4a34-96fd-91fc7eb5e290,2024-06-01,38599.13,Retail worker,28
USD,US19PONZ1113397243,NL,Meta Platforms,Web hosting fee,2024-06-01,38677.26,Retail worker,28
USD,US19PONZ1113397243,NL,Bayer,Healthcare prescription,2024-06-01,38753.42,Retail worker,28
USD,US19PONZ1113397243,NL,Geldmaat ATM,Geldmaat: e1e369d0-5f4b-4aab-9991-f1863eadd060,2024-06-01,40938.42,Retail worker,28
USD,US19PONZ1113397243,Great Britain,Accenture,Expert consultation fee,2024-06-01,40945.39,Retail worker,28
USD,US19PONZ1113397243,Hungary,Honeywell,Business unit invoice,2024-06-01,41028.77,Retail worker,28
USD,US19PONZ1113397243,NL,Geldmaat ATM,Geldmaat: f0445b37-9fed-40b6-93fc-504ea4de4666,2024-06-01,43213.77,Retail worker,28
USD,US19PONZ1113397243,NL,Geldmaat ATM,Geldmaat: ff1f00bf-f442-4bfc-9433-de1992c80b1c,2024-06-01,43229.19,Retail worker,28
USD,US19PONZ1113397243,NL,Cisco Systems,Technology services invoice payment,2024-06-01,43276.24,Retail worker,28
USD,US19PONZ1113397243,NL,"Mart West-Francië, van",Rent payment,2024-06-01,43308.25,Retail worker,28
USD,US19PONZ1113397243,NL,Geldmaat ATM,Geldmaat: 09220dbe-717f-46ee-bb55-f6c177bb390f,2024-06-01,45493.25,Retail worker,28
USD,US19PONZ1113397243,Great Britain,Apple Inc.,Software license fee payment,2024-06-01,45515.21,Retail worker,28
USD,US19PONZ1113397243,NL,AstraZeneca,Medication purchase,2024-06-01,45524.21,Retail worker,28
USD,US19PONZ1113397243,NL,Noud Kuit,Shared ride expenses,2024-06-01,45531.09,Retail worker,28
USD,US19PONZ1113397243,NL,Yasmin van Dongen,Family loan repayment,2024-06-01,45546.24,Retail worker,28
USD,US19PONZ1113397243,NL,Geldmaat ATM,Geldmaat: ccb84a5b-bd01-4076-81cf-f87152728869,2024-06-01,47731.24,Retail worker,28
USD,US19PONZ1113397243,NL,Amazon,Marketplace seller fee,2024-06-01,47743.52,Retail worker,28
USD,US19PONZ1113397243,Canada,Geldmaat ATM,Geldmaat: d41d6eb7-f9f8-499c-9e15-6cbb7f35b80c,2024-06-01,47746.38,Retail worker,28
USD,US19PONZ1113397243,NL,General Electric,Diversified company fee,2024-06-01,47771.22,Retail worker,28
USD,US19PONZ1113397243,NL,Geldmaat ATM,Geldmaat: ec197b10-5013-415b-99b9-3980e35c3786,2024-06-01,49956.22,Retail worker,28
USD,US19PONZ1113397243,Denmark,Facebook,Ad campaign funding,2024-06-01,49983.34,Retail worker,28
USD,US19PONZ1113397243,NL,Procter & Gamble,Product purchase,2024-06-01,50047.15,Retail worker,28
USD,US19PONZ1113397243,NL,Geldmaat ATM,Geldmaat: 335522ee-475f-4c69-a036-22e0b4bb4f10,2024-06-01,52232.15,Retail worker,28
