acct_ccy,acct_id,ctpty_ctry,ctpty_nm,rmt_inf_ustrd1,year_month,bal_aftr,occupation,age
CAD,CA81VANC3600181477,NL,Honeywell,Conglomerate product order,2024-06-01,163.41,Student,20
CAD,CA81VANC3600181477,Canada,Amazon,Marketplace seller fee,2024-06-01,165.55,Student,20
CAD,CA81VANC3600181477,Japan,Geldmaat ATM,Geldmaat: b661ffdd-6906-448f-9d64-5eedc8e78362,2024-06-01,228.55,Student,20
CAD,CA81VANC3600181477,NL,Mette Leguit,Gas money,2024-06-01,233.95,Student,20
CAD,CA81VANC3600181477,Japan,Geldmaat ATM,Geldmaat: 40201d2d-e489-416c-8b5b-be891b843acb,2024-06-01,296.95,Student,20
CAD,CA81VANC3600181477,Japan,Geldmaat ATM,Geldmaat: 512e26b2-ad67-4be4-96fb-25287848735e,2024-06-01,359.95,Student,20
CAD,CA81VANC3600181477,NL,PepsiCo,Restaurant bill,2024-06-01,365.28,Student,20
CAD,CA81VANC3600181477,Canada,Microsoft,Software license fee payment,2024-06-01,370.15,Student,20
CAD,CA81VANC3600181477,Japan,Geldmaat ATM,Geldmaat: 54676439-c340-4706-a759-4534e8ed1679,2024-06-01,433.15,Student,20
CAD,CA81VANC3600181477,Great Britain,Goldman Sachs,Capital markets service,2024-06-01,436.87,Student,20
CAD,CA81VANC3600181477,Japan,Geldmaat ATM,Geldmaat: 39e62249-181e-449a-bf3c-99554f4dade3,2024-06-01,499.87,Student,20
CAD,CA81VANC3600181477,NL,Berkshire Hathaway,Corporate services payment,2024-06-01,510.36,Student,20
CAD,CA81VANC3600181477,Japan,Geldmaat ATM,Geldmaat: 15c496be-138a-406e-8b75-1df47f7e2f47,2024-06-01,573.36,Student,20
CAD,CA81VANC3600181477,NL,GlaxoSmithKline,Healthcare prescription,2024-06-01,577.84,Student,20
CAD,CA81VANC3600181477,Japan,Geldmaat ATM,Geldmaat: f828fad0-318a-4754-ad57-ac3ec6653191,2024-06-01,640.84,Student,20
CAD,CA81VANC3600181477,NL,Sanofi,Drug order payment,2024-06-01,644.13,Student,20
CAD,CA81VANC3600181477,Japan,Geldmaat ATM,Geldmaat: 601e9cf6-0fe9-4bcf-9743-7f2b12a47d40,2024-06-01,707.13,Student,20
CAD,CA81VANC3600181477,NL,Mare Perck-Adriaensdr,Split restaurant bill,2024-06-01,708.93,Student,20
CAD,CA81VANC3600181477,NL,Berend Ulrich,Split restaurant bill,2024-06-01,750.18,Student,20
CAD,CA81VANC3600181477,Japan,Geldmaat ATM,Geldmaat: acb1a904-677c-4517-921a-51a457d9e8b7,2024-06-01,813.18,Student,20
CAD,CA81VANC3600181477,Japan,Geldmaat ATM,Geldmaat: 8a1692e7-90ab-4429-894d-2e69d0a23888,2024-06-01,876.18,Student,20
CAD,CA81VANC3600181477,NL,Geldmaat ATM,Geldmaat: c93ab00c-0f86-466a-9642-1119b5f24f9a,2024-06-01,900.64,Student,20
CAD,CA81VANC3600181477,Japan,Geldmaat ATM,Geldmaat: 72919f90-728f-4229-84eb-74c9b7084aaf,2024-06-01,963.64,Student,20
CAD,CA81VANC3600181477,NL,Bayer,Drug order payment,2024-06-01,968.22,Student,20
CAD,CA81VANC3600181477,Canada,Tata Consultancy Services,Technical service charge,2024-06-01,971.12,Student,20
CAD,CA81VANC3600181477,Japan,Geldmaat ATM,Geldmaat: 615c1096-c20c-4327-95aa-b40d83e1c8c0,2024-06-01,1034.12,Student,20
CAD,CA81VANC3600181477,NL,Duke Energy,Utility bill,2024-06-01,1037.66,Student,20
CAD,CA81VANC3600181477,Japan,Geldmaat ATM,Geldmaat: 1b55f04c-c9b5-4d48-b9d8-b8f90a3c4542,2024-06-01,1100.66,Student,20
CAD,CA81VANC3600181477,NL,Huawei,Technology services invoice payment,2024-06-01,1105.41,Student,20
CAD,CA81VANC3600181477,Japan,Geldmaat ATM,Geldmaat: 63f106e3-c1d9-4e8a-8c53-6d427bcce9e1,2024-06-01,1168.41,Student,20
CAD,CA81VANC3600181477,NL,Duke Energy,Energy supply charge,2024-06-01,1171.29,Student,20
CAD,CA81VANC3600181477,Japan,Geldmaat ATM,Geldmaat: fc91411e-1686-4ed3-b72d-b6948b426153,2024-06-01,1234.29,Student,20
CAD,CA81VANC3600181477,NL,Bilal Kriens,Party contribution,2024-06-01,1242.17,Student,20
CAD,CA81VANC3600181477,Japan,Geldmaat ATM,Geldmaat: 8049ef9a-d7f0-47a6-8238-f6c383807a1d,2024-06-01,1305.17,Student,20
CAD,CA81VANC3600181477,NL,Procter & Gamble,Subscription box service,2024-06-01,1308.22,Student,20
CAD,CA81VANC3600181477,Japan,Geldmaat ATM,Geldmaat: 335497d6-f64f-4ca3-9e5a-a2604905cede,2024-06-01,1371.22,Student,20
CAD,CA81VANC3600181477,Japan,Geldmaat ATM,Geldmaat: 6b11d6ca-0c0b-495b-b113-047665cfdc18,2024-06-01,1434.22,Student,20
CAD,CA81VANC3600181477,NL,Amazon,E-commerce order,2024-06-01,1438.78,Student,20
CAD,CA81VANC3600181477,Japan,Geldmaat ATM,Geldmaat: 5cee8201-99db-4c5d-9946-ecdb80fa40f4,2024-06-01,1501.78,Student,20
CAD,CA81VANC3600181477,Canada,Huawei,Cloud storage subscription,2024-06-01,1504.99,Student,20
CAD,CA81VANC3600181477,Japan,Geldmaat ATM,Geldmaat: fa46f190-f537-4e0e-ad91-0dec2af64860,2024-06-01,1567.99,Student,20
CAD,CA81VANC3600181477,NL,Toyota,Vehicle service charge,2024-06-01,1571.41,Student,20
CAD,CA81VANC3600181477,Great Britain,Daimler,Auto repair bill,2024-06-01,1580.34,Student,20
CAD,CA81VANC3600181477,Japan,Geldmaat ATM,Geldmaat: 8baae358-c9b3-4408-bedd-30cbf313111e,2024-06-01,1643.34,Student,20
CAD,CA81VANC3600181477,Great Britain,Apple Inc.,Technology services invoice payment,2024-06-01,1646.39,Student,20
CAD,CA81VANC3600181477,Japan,Geldmaat ATM,Geldmaat: bdd6c9a9-f063-4aac-8acf-1caa217326b7,2024-06-01,1709.39,Student,20
CAD,CA81VANC3600181477,Japan,Geldmaat ATM,Geldmaat: 42495028-4927-4097-a43b-77cb172f9aeb,2024-06-01,1772.39,Student,20
CAD,CA81VANC3600181477,United States,Procter & Gamble,Subscription box service,2024-06-01,1779.06,Student,20
CAD,CA81VANC3600181477,NL,3M,Corporate services payment,2024-06-01,1780.16,Student,20
CAD,CA81VANC3600181477,NL,Bayer,Medication purchase,2024-06-01,1786.63,Student,20
CAD,CA81VANC3600181477,Japan,Geldmaat ATM,Geldmaat: 14c15227-11e0-4648-8ae2-1e45862497ca,2024-06-01,1849.63,Student,20
CAD,CA81VANC3600181477,Japan,Geldmaat ATM,Geldmaat: 29393002-1390-4cec-b07e-caf4cc9f7a41,2024-06-01,1912.63,Student,20
CAD,CA81VANC3600181477,NL,Madelief van den Berg-Waltrade Walderade,Dinner reimbursement,2024-06-01,1919.41,Student,20
CAD,CA81VANC3600181477,NL,Sylvie Brouwer,Personal loan,2024-06-01,1925.29,Student,20
CAD,CA81VANC3600181477,Japan,Geldmaat ATM,Geldmaat: 7c27f179-06c5-4755-8ba3-242b875e33cc,2024-06-01,1988.29,Student,20
CAD,CA81VANC3600181477,Canada,Accenture,Consulting fee,2024-06-01,1992.14,Student,20
CAD,CA81VANC3600181477,Japan,Geldmaat ATM,Geldmaat: 9adeef30-cff9-4d24-8f7e-4f5777d293ba,2024-06-01,2055.14,Student,20
CAD,CA81VANC3600181477,Japan,Geldmaat ATM,Geldmaat: be1c1228-c553-4b23-a093-4cbad2a415b6,2024-06-01,2118.14,Student,20
CAD,CA81VANC3600181477,Denmark,AT&T,Cable service subscription,2024-06-01,2122.72,Student,20
CAD,CA81VANC3600181477,Japan,Geldmaat ATM,Geldmaat: ec444a2c-f33c-4546-9b1c-5c406b9d6cc1,2024-06-01,2185.72,Student,20
CAD,CA81VANC3600181477,NL,Renault,Vehicle service charge,2024-06-01,2188.81,Student,20
CAD,CA81VANC3600181477,NL,Twan Michielsen,Baby shower gift,2024-06-01,2190.1,Student,20
CAD,CA81VANC3600181477,NL,Jonathan Köster,Shared meal cost,2024-06-01,2191.52,Student,20
CAD,CA81VANC3600181477,NL,Livia Lage,Reimbursement for travel,2024-06-01,2192.39,Student,20
