acct_ccy,acct_id,ctpty_ctry,ctpty_nm,rmt_inf_ustrd1,year_month,bal_aftr,occupation,age
GBP,GB37FAKE1155978602,NL,Kyan Dircken,New baby gift,2024-06-01,2565.32,Student,20
GBP,GB37FAKE1155978602,NL,Geldmaat ATM,Geldmaat: 4e0f275c-752a-4909-8aed-f140fb1e4175,2024-06-01,2775.32,Student,20
GBP,GB37FAKE1155978602,Great Britain,Ford Motor,Car purchase,2024-06-01,2776.19,Student,20
GBP,GB37FAKE1155978602,NL,IBM,Web hosting fee,2024-06-01,2790.99,Student,20
GBP,GB37FAKE1155978602,NL,Geldmaat ATM,Geldmaat: 6dd1e922-0a15-431e-a7cd-c2794bf182bb,2024-06-01,3000.99,Student,20
GBP,GB37FAKE1155978602,Germany,AT&T,Phone bill,2024-06-01,3008.03,Student,20
GBP,GB37FAKE1155978602,NL,Geldmaat ATM,Geldmaat: 2316c792-759c-42b5-8707-f2e32ecddb47,2024-06-01,3218.03,Student,20
GBP,GB37FAKE1155978602,Great Britain,Renault,Car parts order,2024-06-01,3221.7,Student,20
GBP,GB37FAKE1155978602,NL,Geldmaat ATM,Geldmaat: 239ee1f1-ac90-4a63-8e4d-63328f0fc79f,2024-06-01,3431.7,Student,20
GBP,GB37FAKE1155978602,Spain,Phillips 66,Utility bill,2024-06-01,3433.36,Student,20
GBP,GB37FAKE1155978602,NL,Geldmaat ATM,Geldmaat: 787c284a-38fe-4c0b-a2ba-fc3c8dd07f70,2024-06-01,3643.36,Student,20
GBP,GB37FAKE1155978602,United States,Maurits van 't Houteveen,Funeral expenses,2024-06-01,3685.03,Student,20
GBP,GB37FAKE1155978602,Hungary,BMW,Vehicle service charge,2024-06-01,3695.3,Student,20
GBP,GB37FAKE1155978602,NL,Geldmaat ATM,Geldmaat: 4aa9650f-3a83-4459-a2e7-543bfcf8873f,2024-06-01,3905.3,Student,20
GBP,GB37FAKE1155978602,United States,Kyara Meijer,Reimbursement for shopping,2024-06-01,3910.96,Student,20
GBP,GB37FAKE1155978602,NL,Geldmaat ATM,Geldmaat: b9f34a23-e7b3-4a68-b08b-c4c9765e8bcb,2024-06-01,4120.96,Student,20
GBP,GB37FAKE1155978602,NL,Amazon,E-commerce order,2024-06-01,4136.71,Student,20
GBP,GB37FAKE1155978602,NL,Geldmaat ATM,Geldmaat: 5f4546b5-0324-4392-a029-ecef1224ad94,2024-06-01,4346.71,Student,20
GBP,GB37FAKE1155978602,NL,Noud van Kempen-Lips,Vacation expenses,2024-06-01,4361.01,Student,20
GBP,GB37FAKE1155978602,NL,Geldmaat ATM,Geldmaat: f5433433-9d2f-4c1c-bb59-012fd633c304,2024-06-01,4571.01,Student,20
GBP,GB37FAKE1155978602,Great Britain,Abel Kortman,Reimbursement for medical expenses,2024-06-01,4578.31,Student,20
GBP,GB37FAKE1155978602,NL,Geldmaat ATM,Geldmaat: 31133e4b-b01f-462b-9f91-d65f742d0284,2024-06-01,4788.31,Student,20
GBP,GB37FAKE1155978602,NL,Geldmaat ATM,Geldmaat: 7f345f3d-a2e4-4404-9a78-3c5ef08a2d53,2024-06-01,4998.31,Student,20
GBP,GB37FAKE1155978602,NL,Alibaba,Subscription service,2024-06-01,5016.51,Student,20
GBP,GB37FAKE1155978602,Japan,Sanofi,Healthcare prescription,2024-06-01,5022.11,Student,20
GBP,GB37FAKE1155978602,NL,Geldmaat ATM,Geldmaat: bc7d286c-1448-4247-9eb8-df9a69872192,2024-06-01,5232.11,Student,20
GBP,GB37FAKE1155978602,United States,Airbus,Aerospace parts purchase,2024-06-01,5244.24,Student,20
GBP,GB37FAKE1155978602,NL,Geldmaat ATM,Geldmaat: 8d649cb7-7a0f-4fe5-8399-96b3d6319d94,2024-06-01,5454.24,Student,20
GBP,GB37FAKE1155978602,NL,Berkshire Hathaway,Business unit invoice,2024-06-01,5456.7,Student,20
GBP,GB37FAKE1155978602,France,AstraZeneca,Medication purchase,2024-06-01,5497.86,Student,20
GBP,GB37FAKE1155978602,NL,Geldmaat ATM,Geldmaat: f02751e0-f644-4266-9381-06c2d788e5cd,2024-06-01,5707.86,Student,20
GBP,GB37FAKE1155978602,NL,Geldmaat ATM,Geldmaat: a14c3fd1-7bad-45aa-9fd9-ac89fc7fb88a,2024-06-01,5917.86,Student,20
GBP,GB37FAKE1155978602,NL,Berkshire Hathaway,Diversified company fee,2024-06-01,5953.49,Student,20
GBP,GB37FAKE1155978602,NL,Geldmaat ATM,Geldmaat: 4af75326-3ece-4e45-86af-a2a120d46fb4,2024-06-01,6163.49,Student,20
GBP,GB37FAKE1155978602,NL,BASF,Industrial chemicals purchase,2024-06-01,6266.65,Student,20
GBP,GB37FAKE1155978602,NL,BMW,Auto repair bill,2024-06-01,6272.16,Student,20
GBP,GB37FAKE1155978602,NL,Geldmaat ATM,Geldmaat: 44ddc18e-58a9-4bd3-8cbf-2fcbb668aa8d,2024-06-01,6482.16,Student,20
GBP,GB37FAKE1155978602,NL,Geldmaat ATM,Geldmaat: a1e56013-dc25-4bdb-8d36-c9146dffda19,2024-06-01,6692.16,Student,20
GBP,GB37FAKE1155978602,NL,Berkshire Hathaway,Corporate services payment,2024-06-01,6707.41,Student,20
GBP,GB37FAKE1155978602,United States,SoftBank,Corporate services payment,2024-06-01,6710.33,Student,20
GBP,GB37FAKE1155978602,NL,Geldmaat ATM,Geldmaat: 99957c11-069d-4d8d-9f2e-fb390679bf72,2024-06-01,6920.33,Student,20
GBP,GB37FAKE1155978602,NL,Johnson & Johnson,Medication purchase,2024-06-01,6928.52,Student,20
GBP,GB37FAKE1155978602,NL,Geldmaat ATM,Geldmaat: e49bf810-5791-4d7e-a55f-4325aa799058,2024-06-01,7138.52,Student,20
GBP,GB37FAKE1155978602,Denmark,Hendrik Stuivenberg,Rent assistance,2024-06-01,7169.01,Student,20
GBP,GB37FAKE1155978602,NL,General Electric,Business unit invoice,2024-06-01,7356.52,Student,20
GBP,GB37FAKE1155978602,NL,Geldmaat ATM,Geldmaat: 327530a4-933d-4253-8c22-c76db69d6127,2024-06-01,7566.52,Student,20
GBP,GB37FAKE1155978602,NL,Honeywell,Diversified company fee,2024-06-01,7573.39,Student,20
GBP,GB37FAKE1155978602,NL,Geldmaat ATM,Geldmaat: aa080f2e-f179-4662-b7af-f153a27854e8,2024-06-01,7783.39,Student,20
GBP,GB37FAKE1155978602,Canada,Isabel van Egisheim,Grocery money,2024-06-01,7787.94,Student,20
GBP,GB37FAKE1155978602,NL,Geldmaat ATM,Geldmaat: 8f7e2011-a3b9-4a87-8fc8-cb0d54cad83c,2024-06-01,7997.94,Student,20
GBP,GB37FAKE1155978602,NL,Geldmaat ATM,Geldmaat: 4428a680-b3b2-42a6-948d-9bb0f4513a4b,2024-06-01,8207.94,Student,20
GBP,GB37FAKE1155978602,NL,Verizon,Phone bill,2024-06-01,8219.8,Student,20
GBP,GB37FAKE1155978602,NL,Microsoft,Software license fee payment,2024-06-01,8224.49,Student,20
GBP,GB37FAKE1155978602,NL,Geldmaat ATM,Geldmaat: 1dca66c7-1f23-4cac-9ac2-bdae58df6684,2024-06-01,8434.49,Student,20
GBP,GB37FAKE1155978602,NL,Geldmaat ATM,Geldmaat: d21e137d-b6a8-4f50-9957-b8d977eacad1,2024-06-01,8644.49,Student,20
GBP,GB37FAKE1155978602,NL,Liz van den Henst,Party contribution,2024-06-01,8678.95,Student,20
GBP,GB37FAKE1155978602,NL,Geldmaat ATM,Geldmaat: 9b37e9b9-bc11-4182-86de-9d1d148f37d2,2024-06-01,8888.95,Student,20
GBP,GB37FAKE1155978602,NL,Phillips 66,Renewable energy subscription,2024-06-01,8936.65,Student,20
GBP,GB37FAKE1155978602,NL,PepsiCo,Restaurant bill,2024-06-01,8945.99,Student,20
GBP,GB37FAKE1155978602,NL,Geldmaat ATM,Geldmaat: 7be4f640-445f-4295-a344-f0b07dc96572,2024-06-01,9155.99,Student,20
GBP,GB37FAKE1155978602,Hungary,GlaxoSmithKline,Medication purchase,2024-06-01,9162.68,Student,20
GBP,GB37FAKE1155978602,NL,Geldmaat ATM,Geldmaat: c2fc8863-7b0f-4a05-ae8f-daf1996d88fa,2024-06-01,9372.68,Student,20
GBP,GB37FAKE1155978602,Japan,IBM,Technology services invoice payment,2024-06-01,9427.42,Student,20
GBP,GB37FAKE1155978602,NL,Geldmaat ATM,Geldmaat: feaf6481-e144-4d5a-9e93-fdc25265c6b8,2024-06-01,9637.42,Student,20
GBP,GB37FAKE1155978602,NL,Amazon,Marketplace seller fee,2024-07-01,9644.79,Student,20
GBP,GB37FAKE1155978602,NL,Geldmaat ATM,Geldmaat: c278bcdf-f523-4aa5-be3d-cd84b6b25876,2024-07-01,9854.79,Student,20
GBP,GB37FAKE1155978602,NL,AstraZeneca,Drug order payment,2024-07-01,9858.37,Student,20
GBP,GB37FAKE1155978602,NL,Geldmaat ATM,Geldmaat: 25fa24b9-2bb7-4a92-95aa-b5c5cf633215,2024-07-01,10068.37,Student,20
GBP,GB37FAKE1155978602,NL,Apple Inc.,Technology services invoice payment,2024-07-01,10073.37,Student,20
GBP,GB37FAKE1155978602,NL,Johanna Draaisma-van Parijs,Support for a family member,2024-07-01,10082.8,Student,20
GBP,GB37FAKE1155978602,NL,Geldmaat ATM,Geldmaat: 169b58e7-3e66-421d-a12a-0a947420f8ca,2024-07-01,10292.8,Student,20
GBP,GB37FAKE1155978602,NL,Geldmaat ATM,Geldmaat: e14088c7-705d-4a42-8af4-100fd753d1dd,2024-07-01,10502.8,Student,20
GBP,GB37FAKE1155978602,Hungary,Microsoft,Software license fee payment,2024-07-01,10517.14,Student,20
GBP,GB37FAKE1155978602,NL,BASF,Laboratory reagents buy,2024-07-01,10528.64,Student,20
GBP,GB37FAKE1155978602,NL,Geldmaat ATM,Geldmaat: e7991a91-7ae2-4860-a3dc-33b89accaada,2024-07-01,10738.64,Student,20
GBP,GB37FAKE1155978602,NL,Volkswagen,Auto repair bill,2024-07-01,10739.2,Student,20
GBP,GB37FAKE1155978602,NL,Amazon,E-commerce order,2024-07-01,10742.23,Student,20
GBP,GB37FAKE1155978602,Japan,Sam Wensen,Housewarming gift,2024-07-01,10744.42,Student,20
GBP,GB37FAKE1155978602,NL,Geldmaat ATM,Geldmaat: ace07e25-d21f-4fda-b738-75030b0a3669,2024-07-01,10954.42,Student,20
GBP,GB37FAKE1155978602,NL,Geldmaat ATM,Geldmaat: 664ab10f-fafc-43db-bfcb-f93d9eedcc40,2024-07-01,11164.42,Student,20
GBP,GB37FAKE1155978602,NL,Amazon,Online shopping,2024-07-01,11212.14,Student,20
GBP,GB37FAKE1155978602,NL,Geldmaat ATM,Geldmaat: 33d93278-dd85-4a35-a12a-2724b619cf0b,2024-07-01,11422.14,Student,20
GBP,GB37FAKE1155978602,NL,Oracle,Technology services invoice payment,2024-07-01,11436.81,Student,20
GBP,GB37FAKE1155978602,NL,AstraZeneca,Healthcare prescription,2024-07-01,11451.99,Student,20
GBP,GB37FAKE1155978602,NL,Geldmaat ATM,Geldmaat: fdaa3f32-f780-4d33-a529-3a36ec27fedd,2024-07-01,11661.99,Student,20
GBP,GB37FAKE1155978602,NL,Sanofi,Medication purchase,2024-07-01,11717.11,Student,20
GBP,GB37FAKE1155978602,NL,Geldmaat ATM,Geldmaat: 5dc1cc4e-e4b4-465b-bd8b-09f17bfc39b2,2024-07-01,11927.11,Student,20
GBP,GB37FAKE1155978602,NL,Anna van Egisheim,Debt settlement,2024-07-01,11938.58,Student,20
GBP,GB37FAKE1155978602,NL,Geldmaat ATM,Geldmaat: d6f9ab9b-d186-49ee-94da-006ef0c49779,2024-07-01,12148.58,Student,20
GBP,GB37FAKE1155978602,NL,Geldmaat ATM,Geldmaat: d4f82cb4-8d9f-49dd-828a-b4fee4d7f59d,2024-07-01,12358.58,Student,20
GBP,GB37FAKE1155978602,NL,Accenture,Advisory session charge,2024-07-01,12368.82,Student,20
GBP,GB37FAKE1155978602,Canada,Unilever,Order payment,2024-07-01,12371.69,Student,20
