acct_ccy,acct_id,ctpty_ctry,ctpty_nm,rmt_inf_ustrd1,year_month,bal_aftr,occupation,age
GBP,GB45SCAM7167557378,NL,Geldmaat ATM,Geldmaat: 48a260d0-1b1e-4401-ab15-5f0003293dac,2024-06-01,9461.0,Student,20
GBP,GB45SCAM7167557378,NL,General Electric,Corporate services payment,2024-06-01,9465.37,Student,20
GBP,GB45SCAM7167557378,NL,Geldmaat ATM,Geldmaat: 06aa2f53-e985-4fa6-abc4-909985333e5a,2024-06-01,9640.37,Student,20
GBP,GB45SCAM7167557378,France,AT&T,Data plan payment,2024-06-01,9642.68,Student,20
GBP,GB45SCAM7167557378,NL,Emma Kolen-Klerks,Shared ride expenses,2024-06-01,9657.13,Student,20
GBP,GB45SCAM7167557378,NL,Geldmaat ATM,Geldmaat: 56be8c16-f744-4ee7-b795-97f136c6d44e,2024-06-01,9832.13,Student,20
GBP,GB45SCAM7167557378,NL,Koen Joosten,Support for a friend,2024-06-01,9835.32,Student,20
GBP,GB45SCAM7167557378,NL,Geldmaat ATM,Geldmaat: 8eef35c6-a617-4c32-9edb-e2bb46e1ae7b,2024-06-01,10010.32,Student,20
GBP,GB45SCAM7167557378,NL,Dell Technologies,Technology services invoice payment,2024-06-01,10032.05,Student,20
GBP,GB45SCAM7167557378,NL,Geldmaat ATM,Geldmaat: b34f4cbf-e17d-4045-b9ee-f84cf1ea9ee0,2024-06-01,10207.05,Student,20
GBP,GB45SCAM7167557378,NL,Morgan Stanley,Investment fund entry,2024-06-01,10211.48,Student,20
GBP,GB45SCAM7167557378,NL,Geldmaat ATM,Geldmaat: 2a4dd220-c2c2-4063-924e-a69a1a629dd5,2024-06-01,10386.48,Student,20
GBP,GB45SCAM7167557378,Germany,Bayer,Healthcare prescription,2024-06-01,10389.67,Student,20
GBP,GB45SCAM7167557378,NL,Geldmaat ATM,Geldmaat: d6ff479c-f139-4e9d-9cac-d8393ff3037d,2024-06-01,10564.67,Student,20
GBP,GB45SCAM7167557378,NL,Gilead Sciences,Clinical trial payment,2024-06-01,10582.93,Student,20
GBP,GB45SCAM7167557378,NL,Geldmaat ATM,Geldmaat: 38545fbb-860e-44f8-a0e2-8e87ebe4ad14,2024-06-01,10757.93,Student,20
GBP,GB45SCAM7167557378,United States,Lenn Brievingh,Emergency funds,2024-06-01,10765.22,Student,20
GBP,GB45SCAM7167557378,NL,Geldmaat ATM,Geldmaat: 3c2618a3-559d-4830-bbd3-335c354f69d8,2024-06-01,10940.22,Student,20
GBP,GB45SCAM7167557378,NL,DuPont,Conglomerate product order,2024-06-01,10947.07,Student,20
GBP,GB45SCAM7167557378,NL,Geldmaat ATM,Geldmaat: 6d8a8a3e-5cb2-430e-b001-5013f36d9ffd,2024-06-01,11122.07,Student,20
GBP,GB45SCAM7167557378,NL,Geldmaat ATM,Geldmaat: e8041b55-9ee5-4cf8-b8d5-fb6a831fe944,2024-06-01,11297.07,Student,20
GBP,GB45SCAM7167557378,NL,Noa Spies,Shared ride expenses,2024-06-01,11300.15,Student,20
GBP,GB45SCAM7167557378,NL,Geldmaat ATM,Geldmaat: 2f7fcf46-adf7-42dc-a6cd-56be4a4f6b0f,2024-06-01,11475.15,Student,20
GBP,GB45SCAM7167557378,United States,Facebook,Premium account upgrade,2024-06-01,11489.32,Student,20
GBP,GB45SCAM7167557378,NL,Geldmaat ATM,Geldmaat: e47b12ff-7d0a-40a1-8be4-2334b0b28624,2024-06-01,11664.32,Student,20
GBP,GB45SCAM7167557378,Great Britain,Geldmaat ATM,Geldmaat: 0390b861-c203-44e0-9fb5-ae98fe81cdf1,2024-06-01,11709.03,Student,20
GBP,GB45SCAM7167557378,NL,Honeywell,Diversified company fee,2024-06-01,11723.54,Student,20
GBP,GB45SCAM7167557378,NL,Geldmaat ATM,Geldmaat: 7c24971f-0297-4869-807c-3bf70f8eaa30,2024-06-01,11898.54,Student,20
GBP,GB45SCAM7167557378,Denmark,Facebook,Premium account upgrade,2024-06-01,11904.65,Student,20
GBP,GB45SCAM7167557378,NL,Geldmaat ATM,Geldmaat: 2d417cb1-6719-464e-aebd-6b9e91dda307,2024-06-01,12079.65,Student,20
GBP,GB45SCAM7167557378,France,Alphabet Inc.,Web hosting fee,2024-06-01,12088.52,Student,20
GBP,GB45SCAM7167557378,NL,Geldmaat ATM,Geldmaat: 986fdaff-ee81-4c38-b0f6-edcb73b3294c,2024-06-01,12263.52,Student,20
GBP,GB45SCAM7167557378,NL,Geldmaat ATM,Geldmaat: 49403a23-42a8-4b78-b8b4-a036ac6bf195,2024-06-01,12438.52,Student,20
GBP,GB45SCAM7167557378,Great Britain,Airbus,Aviation technology fee,2024-06-01,12452.52,Student,20
GBP,GB45SCAM7167557378,Great Britain,Pfizer,Pharmacy bill,2024-06-01,12464.64,Student,20
GBP,GB45SCAM7167557378,NL,Geldmaat ATM,Geldmaat: 7dda22e5-abd9-43ca-b765-b7b8b39225c4,2024-06-01,12639.64,Student,20
GBP,GB45SCAM7167557378,NL,Procter & Gamble,Subscription box service,2024-06-01,12645.04,Student,20
GBP,GB45SCAM7167557378,NL,Geldmaat ATM,Geldmaat: 5f841b37-cebd-4b67-bee5-db58bdfda83c,2024-06-01,12820.04,Student,20
GBP,GB45SCAM7167557378,NL,Geldmaat ATM,Geldmaat: 9dcebdbc-26a1-4d1e-a21c-86ee6e4cc7c6,2024-06-01,12995.04,Student,20
GBP,GB45SCAM7167557378,Japan,DuPont,Corporate services payment,2024-06-01,12996.69,Student,20
GBP,GB45SCAM7167557378,NL,Duke Energy,Renewable energy subscription,2024-06-01,12999.17,Student,20
GBP,GB45SCAM7167557378,NL,Geldmaat ATM,Geldmaat: fa55ee6c-1cb2-456e-bb3f-137c5b499983,2024-06-01,13174.17,Student,20
GBP,GB45SCAM7167557378,NL,GlaxoSmithKline,Pharmacy bill,2024-06-01,13184.83,Student,20
GBP,GB45SCAM7167557378,NL,Geldmaat ATM,Geldmaat: 02ea65ae-3e90-48f5-8cd8-8988c7f7fbf7,2024-06-01,13359.83,Student,20
GBP,GB45SCAM7167557378,NL,Geldmaat ATM,Geldmaat: b5e27ef7-355d-496e-8290-97a49879f868,2024-06-01,13534.83,Student,20
GBP,GB45SCAM7167557378,United States,Toyota,Vehicle service charge,2024-06-01,13563.44,Student,20
GBP,GB45SCAM7167557378,NL,Cisco Systems,Web hosting fee,2024-06-01,13564.45,Student,20
GBP,GB45SCAM7167557378,NL,Geldmaat ATM,Geldmaat: bef752cc-ba29-4101-a292-b405a6bfd003,2024-06-01,13739.45,Student,20
GBP,GB45SCAM7167557378,NL,Geldmaat ATM,Geldmaat: 911845a9-5efa-418a-b806-27c857d4d9dc,2024-06-01,13914.45,Student,20
GBP,GB45SCAM7167557378,Germany,Merck & Co.,Healthcare prescription,2024-06-01,13917.71,Student,20
GBP,GB45SCAM7167557378,NL,BASF,Cleaning products order,2024-06-01,13944.91,Student,20
GBP,GB45SCAM7167557378,NL,Geldmaat ATM,Geldmaat: ac89e514-6f92-431d-996f-e94cd5e8167d,2024-06-01,14119.91,Student,20
GBP,GB45SCAM7167557378,NL,Geldmaat ATM,Geldmaat: 0c565583-e5a9-4daa-a883-624f32625f71,2024-06-01,14294.91,Student,20
GBP,GB45SCAM7167557378,NL,AT&T,Cable service subscription,2024-06-01,14312.78,Student,20
GBP,GB45SCAM7167557378,NL,Geldmaat ATM,Geldmaat: 51fd226f-cea2-4cbe-ad98-9ff1addfd79a,2024-06-01,14487.78,Student,20
GBP,GB45SCAM7167557378,United States,Phileine Dachgeldt,Reimbursement for dinner,2024-06-01,14492.23,Student,20
GBP,GB45SCAM7167557378,NL,Gilead Sciences,Biotech research fee,2024-06-01,14494.61,Student,20
GBP,GB45SCAM7167557378,NL,Geldmaat ATM,Geldmaat: 5c1ec35c-0228-444e-a985-92a825bd92fb,2024-06-01,14669.61,Student,20
GBP,GB45SCAM7167557378,NL,Geldmaat ATM,Geldmaat: 4ea2e13b-a7a5-417b-9635-e69c624c0bd7,2024-06-01,14844.61,Student,20
GBP,GB45SCAM7167557378,Spain,Bastiaan Nek-Rijntjes,Reimbursement for dinner,2024-06-01,14848.06,Student,20
GBP,GB45SCAM7167557378,NL,Fem van Orleans,Debt settlement,2024-07-01,14851.48,Student,20
GBP,GB45SCAM7167557378,NL,Geldmaat ATM,Geldmaat: 4296ad99-76af-4923-8f4e-78808a8c135a,2024-07-01,15026.48,Student,20
GBP,GB45SCAM7167557378,NL,Faas Ponci,Reimbursement for groceries,2024-07-01,15035.94,Student,20
GBP,GB45SCAM7167557378,NL,Geldmaat ATM,Geldmaat: 15d32216-db8c-4e40-a8bb-5e23f5751d9d,2024-07-01,15210.94,Student,20
GBP,GB45SCAM7167557378,NL,Geldmaat ATM,Geldmaat: de28c967-02eb-4da9-b0af-435d79a07a97,2024-07-01,15385.94,Student,20
GBP,GB45SCAM7167557378,Great Britain,SoftBank,Business unit invoice,2024-07-01,15398.44,Student,20
GBP,GB45SCAM7167557378,NL,Geldmaat ATM,Geldmaat: 9e981cba-e485-4c49-81b9-c2c8ee124916,2024-07-01,15573.44,Student,20
GBP,GB45SCAM7167557378,Spain,Apple Inc.,Software license fee payment,2024-07-01,15575.39,Student,20
GBP,GB45SCAM7167557378,NL,Mitsubishi,Conglomerate product order,2024-07-01,15575.98,Student,20
GBP,GB45SCAM7167557378,NL,AstraZeneca,Drug order payment,2024-07-01,15584.2,Student,20
GBP,GB45SCAM7167557378,NL,Geldmaat ATM,Geldmaat: 67ae67a5-a95a-4ce3-b151-a65e2a83fac9,2024-07-01,15759.2,Student,20
GBP,GB45SCAM7167557378,NL,Geldmaat ATM,Geldmaat: 2a28e411-6cbc-4632-bec5-ce63aee1ab4d,2024-07-01,15934.2,Student,20
GBP,GB45SCAM7167557378,Spain,Jet Wouters,Reimbursement for groceries,2024-07-01,15947.65,Student,20
GBP,GB45SCAM7167557378,NL,Geldmaat ATM,Geldmaat: 175ef43a-ba38-45c8-a19f-e83a3bca398d,2024-07-01,16122.65,Student,20
GBP,GB45SCAM7167557378,France,Berkshire Hathaway,Conglomerate product order,2024-07-01,16128.05,Student,20
GBP,GB45SCAM7167557378,NL,PepsiCo,Food delivery,2024-07-01,16132.28,Student,20
GBP,GB45SCAM7167557378,NL,Geldmaat ATM,Geldmaat: 6f8880b9-d83d-4cc7-9a19-36379b54fc9f,2024-07-01,16307.28,Student,20
GBP,GB45SCAM7167557378,NL,Bayer,Medication purchase,2024-07-01,16314.1,Student,20
GBP,GB45SCAM7167557378,NL,Geldmaat ATM,Geldmaat: 88da3e24-bd70-455f-9be4-5317ad43fcec,2024-07-01,16489.1,Student,20
GBP,GB45SCAM7167557378,NL,Geldmaat ATM,Geldmaat: c3e99b7e-648e-4bae-9355-27316d930955,2024-07-01,16664.1,Student,20
GBP,GB45SCAM7167557378,NL,Milo de la Fleche,New baby gift,2024-07-01,16666.82,Student,20
GBP,GB45SCAM7167557378,NL,Geldmaat ATM,Geldmaat: 47e2d2ae-efa1-47c1-a770-bead71204326,2024-07-01,16841.82,Student,20
GBP,GB45SCAM7167557378,NL,Tijmen van 't Houteveen,Funeral expenses,2024-07-01,16851.55,Student,20
GBP,GB45SCAM7167557378,NL,Geldmaat ATM,Geldmaat: 01f006f1-5a75-4c47-868a-a789fe02d787,2024-07-01,17026.55,Student,20
GBP,GB45SCAM7167557378,Great Britain,3M,Corporate services payment,2024-07-01,17039.54,Student,20
GBP,GB45SCAM7167557378,NL,Geldmaat ATM,Geldmaat: a5403321-0961-4a83-8ba2-47c2e744a832,2024-07-01,17214.54,Student,20
GBP,GB45SCAM7167557378,NL,Phillips 66,Energy supply charge,2024-07-01,17221.42,Student,20
GBP,GB45SCAM7167557378,NL,Morgan Stanley,Stock purchase,2024-07-01,17228.77,Student,20
GBP,GB45SCAM7167557378,NL,Geldmaat ATM,Geldmaat: a7eab773-3f25-4f85-82c7-38562442880e,2024-07-01,17403.77,Student,20
GBP,GB45SCAM7167557378,NL,Apple Inc.,Software license fee payment,2024-07-01,17405.42,Student,20
