acct_ccy,acct_id,ctpty_ctry,ctpty_nm,rmt_inf_ustrd1,year_month,bal_aftr,occupation,age
J,JP77NISE5466121031,NL,Airbus,Aviation technology fee,2024-06-01,1348.43,Student,20
J,JP77NISE5466121031,NL,GlaxoSmithKline,Drug order payment,2024-06-01,1360.46,Student,20
J,JP77NISE5466121031,NL,Geldmaat ATM,Geldmaat: 13bf822a-a03e-4529-9595-b466762e5364,2024-06-01,2029.46,Student,20
J,JP77NISE5466121031,NL,Geldmaat ATM,Geldmaat: 3d1b117c-8766-48cb-aef5-38cc4a3939bc,2024-06-01,2698.46,Student,20
J,JP77NISE5466121031,Great Britain,Procter & Gamble,Product purchase,2024-06-01,2784.4,Student,20
J,JP77NISE5466121031,NL,Apple Inc.,Cloud storage subscription,2024-06-01,2790.9,Student,20
J,JP77NISE5466121031,NL,Geldmaat ATM,Geldmaat: d202c8b4-38e3-415c-8b00-1d36f1609167,2024-06-01,3459.9,Student,20
J,JP77NISE5466121031,NL,Sanofi,Medication purchase,2024-06-01,3552.15,Student,20
J,JP77NISE5466121031,NL,Geldmaat ATM,Geldmaat: 6fc42ce0-33c9-418f-88ff-4ce850ade7b7,2024-06-01,4221.15,Student,20
J,JP77NISE5466121031,NL,Lisanne Kuijpers,Party contribution,2024-06-01,4227.21,Student,20
J,JP77NISE5466121031,NL,Amir Smits,Family loan repayment,2024-06-01,4231.18,Student,20
J,JP77NISE5466121031,NL,Morgan Stanley,Investment fund entry,2024-06-01,4240.82,Student,20
J,JP77NISE5466121031,NL,AT&T,Telecom invoice,2024-06-01,4250.55,Student,20
J,JP77NISE5466121031,NL,Sanofi,Drug order payment,2024-06-01,4254.36,Student,20
J,JP77NISE5466121031,NL,General Electric,Business unit invoice,2024-06-01,4272.04,Student,20
J,JP77NISE5466121031,NL,Geldmaat ATM,Geldmaat: 68bbd909-64aa-41ea-9b35-93ba6b60db5e,2024-06-01,4941.04,Student,20
J,JP77NISE5466121031,NL,Geldmaat ATM,Geldmaat: db597b8b-e498-421f-b110-8af15f9c8013,2024-06-01,4943.15,Student,20
J,JP77NISE5466121031,Italy,Accenture,Professional service invoice,2024-06-01,4954.23,Student,20
J,JP77NISE5466121031,NL,Huawei,Web hosting fee,2024-06-01,4958.88,Student,20
J,JP77NISE5466121031,NL,Geldmaat ATM,Geldmaat: 9040ca27-2355-4d4b-8a14-8b8a738e23ec,2024-06-01,5627.88,Student,20
J,JP77NISE5466121031,NL,AT&T,Cable service subscription,2024-06-01,5634.66,Student,20
J,JP77NISE5466121031,NL,Geldmaat ATM,Geldmaat: 948201b7-f097-46c8-ae4d-4e0e5a09d5ec,2024-06-01,5645.85,Student,20
J,JP77NISE5466121031,NL,Toyota,Car purchase,2024-06-01,5658.63,Student,20
J,JP77NISE5466121031,NL,Geldmaat ATM,Geldmaat: 4f0acb14-3def-48a9-bc97-0d8b3b23d4d2,2024-06-01,6327.63,Student,20
J,JP77NISE5466121031,NL,Alibaba,Subscription service,2024-06-01,6429.96,Student,20
J,JP77NISE5466121031,NL,Geldmaat ATM,Geldmaat: e8f6caeb-9188-4876-8e71-c0dcb2fc9fca,2024-06-01,7098.96,Student,20
J,JP77NISE5466121031,NL,Dell Technologies,Technology services invoice payment,2024-06-01,7102.87,Student,20
J,JP77NISE5466121031,NL,Toyota,Car purchase,2024-06-01,7136.16,Student,20
J,JP77NISE5466121031,United States,Pepijn Bierstraten,Party contribution,2024-06-01,7144.09,Student,20
J,JP77NISE5466121031,NL,Geldmaat ATM,Geldmaat: 2616dffc-47ce-43ea-92b3-21b84a557b75,2024-06-01,7813.09,Student,20
J,JP77NISE5466121031,Great Britain,Morgan Stanley,Stock purchase,2024-06-01,7814.71,Student,20
J,JP77NISE5466121031,Hungary,SoftBank,Conglomerate product order,2024-06-01,7819.75,Student,20
J,JP77NISE5466121031,NL,Jelle Oversteeg,Rent assistance,2024-06-01,8032.63,Student,20
J,JP77NISE5466121031,NL,Geldmaat ATM,Geldmaat: 453e1fd3-a36b-4e1c-8ba6-6fa0d119bf25,2024-06-01,8701.63,Student,20
J,JP77NISE5466121031,Great Britain,DuPont,Business unit invoice,2024-06-01,8719.92,Student,20
J,JP77NISE5466121031,NL,IBM,Cloud storage subscription,2024-06-01,8739.52,Student,20
J,JP77NISE5466121031,NL,Geldmaat ATM,Geldmaat: 40b42cfe-2998-4d50-9efc-43e90703e782,2024-06-01,9408.52,Student,20
J,JP77NISE5466121031,Great Britain,Nike,Clothing purchase,2024-06-01,9412.87,Student,20
J,JP77NISE5466121031,Hungary,Geldmaat ATM,Geldmaat: f9b7294f-7db5-4cfe-9e85-929ca0a791e2,2024-06-01,9415.79,Student,20
J,JP77NISE5466121031,NL,Leah Bekbergen-Garret,Reimbursement for dinner,2024-06-01,9427.97,Student,20
J,JP77NISE5466121031,NL,Geldmaat ATM,Geldmaat: 4f113ea1-deff-4833-92dc-be8bc4cb6083,2024-06-01,10096.97,Student,20
J,JP77NISE5466121031,NL,Geldmaat ATM,Geldmaat: ed9186d6-873b-4361-84e4-8bc3d7c6a2e9,2024-06-01,10765.97,Student,20
