acct_ccy,acct_id,ctpty_ctry,ctpty_nm,rmt_inf_ustrd1,year_month,bal_aftr,occupation,age
EUR,NL05YEPP4147702336,United States,AT&T,Data plan payment,2024-06-01,2625.55,Self-employed,50
EUR,NL05YEPP4147702336,Great Britain,PepsiCo,Beverage order,2024-06-01,2638.6,Self-employed,50
EUR,NL05YEPP4147702336,Japan,Johnson & Johnson,Pharmacy bill,2024-06-01,2640.24,Self-employed,50
EUR,NL05YEPP4147702336,NL,Geldmaat ATM,Geldmaat: df332c69-1f2d-4c7e-b2ba-de679a9f18be,2024-06-01,4265.24,Self-employed,50
EUR,NL05YEPP4147702336,Japan,AT&T,Cable service subscription,2024-06-01,4288.56,Self-employed,50
EUR,NL05YEPP4147702336,NL,Fleur Hendrikse-Meis,Wedding gift,2024-06-01,4339.7,Self-employed,50
EUR,NL05YEPP4147702336,NL,Geldmaat ATM,Geldmaat: 151fdeae-4ec1-40c1-be77-27235a548606,2024-06-01,5964.7,Self-employed,50
EUR,NL05YEPP4147702336,NL,Toyota,Auto repair bill,2024-06-01,6028.95,Self-employed,50
EUR,NL05YEPP4147702336,NL,Geldmaat ATM,Geldmaat: 784c0e70-1111-4eff-803a-b64e648363f5,2024-06-01,7653.95,Self-employed,50
EUR,NL05YEPP4147702336,NL,Facebook,Ad campaign funding,2024-06-01,7667.13,Self-employed,50
EUR,NL05YEPP4147702336,NL,Loek van der Lede,Shared utilities,2024-06-01,7677.74,Self-employed,50
EUR,NL05YEPP4147702336,NL,LVMH,Luxury item purchase,2024-06-01,7695.99,Self-employed,50
EUR,NL05YEPP4147702336,NL,Geldmaat ATM,Geldmaat: 6887878a-67f5-49a8-b25f-e28682517956,2024-06-01,9320.99,Self-employed,50
EUR,NL05YEPP4147702336,NL,Alphabet Inc.,Web hosting fee,2024-06-01,9360.27,Self-employed,50
EUR,NL05YEPP4147702336,NL,Geldmaat ATM,Geldmaat: cb64e241-41e5-4b23-a36a-1d05b65c9e92,2024-06-01,10985.27,Self-employed,50
EUR,NL05YEPP4147702336,NL,Boeing,Aerospace parts purchase,2024-06-01,11002.24,Self-employed,50
EUR,NL05YEPP4147702336,NL,Jonathan van den Wittenboer,Support for a friend,2024-06-01,11011.77,Self-employed,50
EUR,NL05YEPP4147702336,NL,Mare Wolzak,Friend loan repayment,2024-06-01,11024.38,Self-employed,50
EUR,NL05YEPP4147702336,NL,Morgan Stanley,Capital markets service,2024-06-01,11059.83,Self-employed,50
EUR,NL05YEPP4147702336,NL,Geldmaat ATM,Geldmaat: db2fe48f-d472-4bbc-beab-ae75e9c9660e,2024-06-01,12684.83,Self-employed,50
EUR,NL05YEPP4147702336,NL,Gilead Sciences,Laboratory service charge,2024-06-01,12753.18,Self-employed,50
EUR,NL05YEPP4147702336,NL,Geldmaat ATM,Geldmaat: baa3d320-8990-4bb0-a0f7-d910674d305e,2024-06-01,14378.18,Self-employed,50
EUR,NL05YEPP4147702336,Denmark,Vigo Vaessen-van Buuren,Loan repayment,2024-06-01,14418.37,Self-employed,50
EUR,NL05YEPP4147702336,NL,Geldmaat ATM,Geldmaat: 07af48e9-b7ba-4cac-8f72-3558838712fa,2024-06-01,16043.37,Self-employed,50
EUR,NL05YEPP4147702336,NL,Geldmaat ATM,Geldmaat: 1d3d9746-63db-48b6-ae02-1ae30db28001,2024-06-01,17668.37,Self-employed,50
EUR,NL05YEPP4147702336,Canada,Laurens Adriaense,Family loan repayment,2024-06-01,17671.41,Self-employed,50
EUR,NL05YEPP4147702336,NL,Novartis,Healthcare prescription,2024-06-01,17678.24,Self-employed,50
EUR,NL05YEPP4147702336,NL,Procter & Gamble,Order payment,2024-06-01,17694.97,Self-employed,50
EUR,NL05YEPP4147702336,NL,Merck & Co.,Healthcare prescription,2024-06-01,17706.75,Self-employed,50
EUR,NL05YEPP4147702336,Spain,Volkswagen,Car purchase,2024-06-01,17727.88,Self-employed,50
EUR,NL05YEPP4147702336,Austria,Nike,Fashion brand order,2024-06-01,17754.84,Self-employed,50
EUR,NL05YEPP4147702336,NL,Geldmaat ATM,Geldmaat: 5578e338-647d-462d-9481-5600d5db8510,2024-06-01,19379.84,Self-employed,50
EUR,NL05YEPP4147702336,NL,Procter & Gamble,Retail goods payment,2024-06-01,19396.97,Self-employed,50
EUR,NL05YEPP4147702336,NL,Rick van der Flaas,Household expenses,2024-06-01,19405.04,Self-employed,50
EUR,NL05YEPP4147702336,Great Britain,Isabella Cosman,Grocery money,2024-06-01,19420.07,Self-employed,50
