acct_ccy,acct_id,ctpty_ctry,ctpty_nm,rmt_inf_ustrd1,year_month,bal_aftr,occupation,age
EUR,NL12FAKE4703440320,NL,Geldmaat ATM,Geldmaat: a4fc2d2d-b6db-421f-a163-5b76012ce146,2024-06-01,6835.0,Self-employed,50
EUR,NL12FAKE4703440320,NL,Berkshire Hathaway,Corporate services payment,2024-06-01,6839.44,Self-employed,50
EUR,NL12FAKE4703440320,NL,Geldmaat ATM,Geldmaat: 9f8df54d-a850-46ff-b5fe-4071f84e4328,2024-06-01,8208.44,Self-employed,50
EUR,NL12FAKE4703440320,NL,Marit Moenen,Shared meal cost,2024-06-01,8212.53,Self-employed,50
EUR,NL12FAKE4703440320,NL,Geldmaat ATM,Geldmaat: fc263298-699a-4f10-8c56-f1d6251dcbfb,2024-06-01,9581.53,Self-employed,50
EUR,NL12FAKE4703440320,Japan,3M,Conglomerate product order,2024-06-01,9626.78,Self-employed,50
EUR,NL12FAKE4703440320,NL,Procter & Gamble,Subscription box service,2024-06-01,9630.15,Self-employed,50
EUR,NL12FAKE4703440320,NL,Geldmaat ATM,Geldmaat: b376a6b4-d1b8-4863-9f83-70d350ab6867,2024-06-01,10999.15,Self-employed,50
EUR,NL12FAKE4703440320,NL,DuPont,Business unit invoice,2024-06-01,11000.65,Self-employed,50
EUR,NL12FAKE4703440320,NL,Bayer,Medication purchase,2024-06-01,11005.77,Self-employed,50
EUR,NL12FAKE4703440320,NL,Geldmaat ATM,Geldmaat: 4b2068f9-c4d9-4eef-9e94-7016fb402755,2024-06-01,12374.77,Self-employed,50
EUR,NL12FAKE4703440320,NL,Laura van Dam,Friend loan repayment,2024-06-01,12376.07,Self-employed,50
EUR,NL12FAKE4703440320,NL,IBM,Technology services invoice payment,2024-06-01,12385.06,Self-employed,50
EUR,NL12FAKE4703440320,NL,Geldmaat ATM,Geldmaat: 0d42be75-4e81-4065-8d35-5758713c2860,2024-06-01,13754.06,Self-employed,50
EUR,NL12FAKE4703440320,NL,Arie de Lange,School fees,2024-06-01,13755.62,Self-employed,50
EUR,NL12FAKE4703440320,NL,Geldmaat ATM,Geldmaat: 7a2abe44-da42-46dd-a41f-e3c03c007199,2024-06-01,15124.62,Self-employed,50
EUR,NL12FAKE4703440320,NL,Microsoft,Cloud storage subscription,2024-06-01,15126.65,Self-employed,50
EUR,NL12FAKE4703440320,NL,Geldmaat ATM,Geldmaat: ef15e184-a26a-47a1-bc6b-d7428fbf1ab1,2024-06-01,16495.65,Self-employed,50
EUR,NL12FAKE4703440320,Italy,Fabiënne Sanders,Split restaurant bill,2024-06-01,16525.81,Self-employed,50
EUR,NL12FAKE4703440320,United States,Floor Nijman,Birthday party expenses,2024-06-01,16531.25,Self-employed,50
EUR,NL12FAKE4703440320,NL,Geldmaat ATM,Geldmaat: 7588adb7-4731-459f-8085-a6d63bceaa5a,2024-06-01,17900.25,Self-employed,50
EUR,NL12FAKE4703440320,NL,Geldmaat ATM,Geldmaat: ae452853-f0a2-4377-a2ad-d035291383bf,2024-06-01,19269.25,Self-employed,50
EUR,NL12FAKE4703440320,NL,Allianz,Claim settlement,2024-06-01,19289.08,Self-employed,50
EUR,NL12FAKE4703440320,Italy,Goldman Sachs,Capital markets service,2024-06-01,19310.3,Self-employed,50
EUR,NL12FAKE4703440320,NL,Geldmaat ATM,Geldmaat: 61ec405a-8afe-43f2-9960-975630223643,2024-06-01,20679.3,Self-employed,50
EUR,NL12FAKE4703440320,NL,Geldmaat ATM,Geldmaat: ff0db552-f928-4fc4-a8ac-56f0c82c3e0e,2024-06-01,22048.3,Self-employed,50
EUR,NL12FAKE4703440320,United States,Ivan Doornhem-Verheij,Anniversary gift,2024-06-01,22057.77,Self-employed,50
EUR,NL12FAKE4703440320,Belgium,Morgan Stanley,Investment fund entry,2024-06-01,22078.06,Self-employed,50
EUR,NL12FAKE4703440320,NL,Geldmaat ATM,Geldmaat: 1c6116fd-2415-4ab1-8030-d0d2f3969486,2024-06-01,23447.06,Self-employed,50
EUR,NL12FAKE4703440320,NL,Procter & Gamble,Order payment,2024-06-01,23448.74,Self-employed,50
EUR,NL12FAKE4703440320,Denmark,Saar Hanegraaff,Baby shower gift,2024-06-01,23449.24,Self-employed,50
