acct_ccy,acct_id,ctpty_ctry,ctpty_nm,rmt_inf_ustrd1,year_month,bal_aftr,occupation,age
EUR,NL98BOER7708451088,Great Britain,Joris van Boven,Family loan repayment,2024-06-01,3156.86,Student,20
EUR,NL98BOER7708451088,NL,Geldmaat ATM,Geldmaat: e6aec767-bfac-426d-b26d-3e14980b8451,2024-06-01,3539.86,Student,20
EUR,NL98BOER7708451088,NL,Geldmaat ATM,Geldmaat: 9a4e40fd-9deb-47cc-9716-9458f9baed83,2024-06-01,3922.86,Student,20
EUR,NL98BOER7708451088,Denmark,Toyota,Car purchase,2024-06-01,3929.47,Student,20
EUR,NL98BOER7708451088,NL,Geldmaat ATM,Geldmaat: 7c9c3ace-884b-419d-ab1e-61a36c33f6ad,2024-06-01,4312.47,Student,20
EUR,NL98BOER7708451088,Belgium,Geldmaat ATM,Geldmaat: 4c2fba6f-7954-49e4-a3f4-cdb82d232707,2024-06-01,4316.23,Student,20
EUR,NL98BOER7708451088,Hungary,Amazon,Marketplace seller fee,2024-06-01,4376.36,Student,20
EUR,NL98BOER7708451088,Germany,Gijs de Ruiter,Shared subscription,2024-06-01,4390.31,Student,20
EUR,NL98BOER7708451088,Japan,General Electric,Business unit invoice,2024-06-01,4393.9,Student,20
EUR,NL98BOER7708451088,NL,Geldmaat ATM,Geldmaat: f5a51bde-d848-45db-8883-ee61d331a67c,2024-06-01,4776.9,Student,20
EUR,NL98BOER7708451088,NL,Geldmaat ATM,Geldmaat: ee463a99-d666-4cc8-90f7-eb9668e387bf,2024-06-01,5159.9,Student,20
EUR,NL98BOER7708451088,Great Britain,Pfizer,Healthcare prescription,2024-06-01,5166.85,Student,20
EUR,NL98BOER7708451088,NL,Wout Bos,Child support,2024-06-01,5179.23,Student,20
EUR,NL98BOER7708451088,NL,Geldmaat ATM,Geldmaat: 9e4ebc05-7204-491f-8ecd-173a4a0cbb12,2024-06-01,5562.23,Student,20
EUR,NL98BOER7708451088,United States,Facebook,Social media service subscription,2024-06-01,5563.88,Student,20
EUR,NL98BOER7708451088,NL,Geldmaat ATM,Geldmaat: 7ebd8e1d-a020-4c6f-a217-fa4431bd63db,2024-06-01,5946.88,Student,20
EUR,NL98BOER7708451088,NL,Liz Roodesteijn-Doorhof,Rent assistance,2024-06-01,5954.46,Student,20
EUR,NL98BOER7708451088,Canada,Juul Tuithof,School fees,2024-06-01,5960.15,Student,20
EUR,NL98BOER7708451088,NL,General Electric,Business unit invoice,2024-06-01,5961.24,Student,20
EUR,NL98BOER7708451088,NL,Geldmaat ATM,Geldmaat: 1539b5dc-f2db-4a3b-ae9b-456140496b3c,2024-06-01,6344.24,Student,20
EUR,NL98BOER7708451088,Canada,Geldmaat ATM,Geldmaat: 018d5be0-20ea-49dd-9f8a-3fc11cc15c1d,2024-06-01,6346.06,Student,20
EUR,NL98BOER7708451088,NL,Geldmaat ATM,Geldmaat: 9ba47dfb-b6ef-4c00-97e7-2519c122d6e5,2024-06-01,6729.06,Student,20
EUR,NL98BOER7708451088,NL,Procter & Gamble,Subscription box service,2024-06-01,6734.36,Student,20
EUR,NL98BOER7708451088,NL,Amazon,Online shopping,2024-06-01,6746.24,Student,20
EUR,NL98BOER7708451088,NL,Geldmaat ATM,Geldmaat: cc7a6e79-a377-475c-bed1-4eb9e6e7d426,2024-06-01,7129.24,Student,20
EUR,NL98BOER7708451088,NL,Geldmaat ATM,Geldmaat: f31dff70-0a1c-4df8-b163-cf486ad81891,2024-06-01,7143.24,Student,20
EUR,NL98BOER7708451088,NL,Geldmaat ATM,Geldmaat: 487191ac-082d-4766-9fea-e97971f1372e,2024-06-01,7526.24,Student,20
EUR,NL98BOER7708451088,Spain,Microsoft,Web hosting fee,2024-06-01,7544.14,Student,20
EUR,NL98BOER7708451088,NL,Geldmaat ATM,Geldmaat: 6bdbbdc3-be16-45a4-b17a-41521c6f9a7b,2024-06-01,7927.14,Student,20
EUR,NL98BOER7708451088,NL,Megan van den Bosch,Pet expenses,2024-06-01,7939.41,Student,20
EUR,NL98BOER7708451088,NL,Geldmaat ATM,Geldmaat: f4245e27-e21f-41d1-b36e-367b15395784,2024-06-01,8322.41,Student,20
EUR,NL98BOER7708451088,Hungary,Isabella van Wessex,Vacation expenses,2024-06-01,8325.49,Student,20
EUR,NL98BOER7708451088,NL,Geldmaat ATM,Geldmaat: 1b610151-0900-4ebb-974d-ab8a0181a60d,2024-06-01,8708.49,Student,20
EUR,NL98BOER7708451088,Belgium,Timo ter Waarbeek,Reimbursement for travel,2024-06-01,8742.0,Student,20
EUR,NL98BOER7708451088,NL,Geldmaat ATM,Geldmaat: 899f5341-6800-45d0-bff0-853c5c9ccf5e,2024-06-01,8746.72,Student,20
EUR,NL98BOER7708451088,NL,Alex van de Biesenbos,Wedding gift,2024-06-01,8760.52,Student,20
EUR,NL98BOER7708451088,NL,Geldmaat ATM,Geldmaat: fae0673f-20f3-4a9f-b720-9e34449d53ee,2024-06-01,9143.52,Student,20
EUR,NL98BOER7708451088,NL,Gilead Sciences,Genetic testing kit,2024-06-01,9147.23,Student,20
EUR,NL98BOER7708451088,NL,Sanofi,Medication purchase,2024-06-01,9162.99,Student,20
EUR,NL98BOER7708451088,NL,Geldmaat ATM,Geldmaat: c114c46d-cdef-497b-98f1-fdf557efa4a3,2024-06-01,9545.99,Student,20
EUR,NL98BOER7708451088,NL,Airbus,Aerospace parts purchase,2024-06-01,9617.48,Student,20
EUR,NL98BOER7708451088,NL,Verizon,Phone bill,2024-06-01,9619.59,Student,20
EUR,NL98BOER7708451088,NL,Geldmaat ATM,Geldmaat: 60acafd3-fe65-4889-b81e-68a8690c9937,2024-06-01,10002.59,Student,20
EUR,NL98BOER7708451088,NL,Geldmaat ATM,Geldmaat: 71e5b99b-96f5-41ad-a339-6fef5e049d72,2024-06-01,10385.59,Student,20
EUR,NL98BOER7708451088,Denmark,Marit Knoers,Reimbursement for dinner,2024-06-01,10393.24,Student,20
EUR,NL98BOER7708451088,NL,Geldmaat ATM,Geldmaat: 64f8df98-78f1-431b-b17b-d36be0cc6210,2024-06-01,10776.24,Student,20
EUR,NL98BOER7708451088,NL,Hidde de Bont,Emergency funds,2024-06-01,10813.16,Student,20
EUR,NL98BOER7708451088,NL,Renske Rietveld,Gas money,2024-06-01,10815.53,Student,20
EUR,NL98BOER7708451088,NL,Geldmaat ATM,Geldmaat: dcffe9d5-3be0-4b48-8afc-8c654dd46cc1,2024-06-01,11198.53,Student,20
EUR,NL98BOER7708451088,NL,ByteDance,Cloud storage subscription,2024-06-01,11209.01,Student,20
EUR,NL98BOER7708451088,NL,GlaxoSmithKline,Healthcare prescription,2024-06-01,11214.48,Student,20
EUR,NL98BOER7708451088,NL,Geldmaat ATM,Geldmaat: b4e0ed14-acfc-4ac5-b010-1ee848510627,2024-06-01,11597.48,Student,20
EUR,NL98BOER7708451088,NL,General Electric,Corporate services payment,2024-06-01,11625.21,Student,20
EUR,NL98BOER7708451088,NL,Geldmaat ATM,Geldmaat: 3bfbc7d8-c35d-40f7-98a1-66c1b1b9b11f,2024-06-01,12008.21,Student,20
EUR,NL98BOER7708451088,NL,Geldmaat ATM,Geldmaat: 0d8e328c-8993-4b26-a56c-c4056c05912b,2024-06-01,12391.21,Student,20
EUR,NL98BOER7708451088,NL,Unilever,Retail goods payment,2024-06-01,12400.26,Student,20
EUR,NL98BOER7708451088,NL,LVMH,Exclusive brand fee,2024-06-01,12408.93,Student,20
EUR,NL98BOER7708451088,NL,Geldmaat ATM,Geldmaat: 13dfbcd7-b74d-4507-8c72-1842374b19a6,2024-06-01,12791.93,Student,20
EUR,NL98BOER7708451088,NL,Geldmaat ATM,Geldmaat: 146e848c-ba13-462a-9c3b-408da50c1b41,2024-06-01,13174.93,Student,20
EUR,NL98BOER7708451088,Canada,Rosa Wipstrik,Travel expenses,2024-06-01,13181.97,Student,20
EUR,NL98BOER7708451088,Italy,Feline Karels-de Graaf,Loan to family,2024-06-01,13196.32,Student,20
EUR,NL98BOER7708451088,NL,Geldmaat ATM,Geldmaat: afc00215-ddd2-40a7-8683-3ec479069b10,2024-06-01,13579.32,Student,20
EUR,NL98BOER7708451088,NL,Gilead Sciences,Laboratory service charge,2024-06-01,13602.1,Student,20
EUR,NL98BOER7708451088,NL,Geldmaat ATM,Geldmaat: 9d907d0c-4009-4e4f-92ba-e1c9b6dbbf02,2024-06-01,13985.1,Student,20
EUR,NL98BOER7708451088,NL,SoftBank,Diversified company fee,2024-06-01,13989.52,Student,20
EUR,NL98BOER7708451088,NL,Volkswagen,Vehicle service charge,2024-06-01,14002.81,Student,20
EUR,NL98BOER7708451088,NL,Geldmaat ATM,Geldmaat: e60074bf-0e70-4d27-a7f2-d0a6a10a7e34,2024-06-01,14385.81,Student,20
EUR,NL98BOER7708451088,Japan,Britt Oversteeg,Friend loan repayment,2024-06-01,14416.54,Student,20
EUR,NL98BOER7708451088,NL,Geldmaat ATM,Geldmaat: 9bb7a3f5-12dd-4da5-ae41-03a92fb67802,2024-06-01,14799.54,Student,20
EUR,NL98BOER7708451088,Belgium,Alibaba,E-commerce order,2024-06-01,14805.71,Student,20
EUR,NL98BOER7708451088,NL,Geldmaat ATM,Geldmaat: c4eb12a8-d52c-4802-8579-6350727063c6,2024-06-01,15188.71,Student,20
EUR,NL98BOER7708451088,NL,IBM,Cloud storage subscription,2024-07-01,15199.35,Student,20
EUR,NL98BOER7708451088,NL,Geldmaat ATM,Geldmaat: b73b375e-3818-4eb5-83be-95e75d60a3b3,2024-07-01,15582.35,Student,20
EUR,NL98BOER7708451088,NL,Phillips 66,Renewable energy subscription,2024-07-01,15584.53,Student,20
EUR,NL98BOER7708451088,NL,Jelle van den Heuvel-Oude Heer,Split restaurant bill,2024-07-01,15598.32,Student,20
EUR,NL98BOER7708451088,NL,Geldmaat ATM,Geldmaat: cf063ec2-1a6e-493c-90ba-a7e7ffab7476,2024-07-01,15981.32,Student,20
EUR,NL98BOER7708451088,United States,Juliette Rehorst,Mortgage help,2024-07-01,15990.41,Student,20
EUR,NL98BOER7708451088,NL,Geldmaat ATM,Geldmaat: b577cb37-b99f-4080-b99c-c597352d0891,2024-07-01,16373.41,Student,20
EUR,NL98BOER7708451088,NL,Facebook,Social media service subscription,2024-07-01,16395.34,Student,20
EUR,NL98BOER7708451088,NL,Esmee Sitters-van den Brink,Party contribution,2024-07-01,16399.05,Student,20
EUR,NL98BOER7708451088,NL,Geldmaat ATM,Geldmaat: 777cc77f-d6d3-45fc-8f86-b23b3fb78b19,2024-07-01,16782.05,Student,20
EUR,NL98BOER7708451088,NL,Geldmaat ATM,Geldmaat: 17a73fd8-6fb6-4124-87f4-7d8addf72fdd,2024-07-01,17165.05,Student,20
EUR,NL98BOER7708451088,NL,Senna Wildschut,Emergency funds,2024-07-01,17171.46,Student,20
EUR,NL98BOER7708451088,NL,AT&T,Data plan payment,2024-07-01,17178.55,Student,20
EUR,NL98BOER7708451088,NL,Koen Rouwenhorst-van Nederlotharingen,Split restaurant bill,2024-07-01,17181.97,Student,20
EUR,NL98BOER7708451088,NL,Geldmaat ATM,Geldmaat: c468cf85-2e91-44e6-a9ab-c32c71d013a6,2024-07-01,17564.97,Student,20
EUR,NL98BOER7708451088,NL,Oracle,Web hosting fee,2024-07-01,17571.4,Student,20
EUR,NL98BOER7708451088,NL,Geldmaat ATM,Geldmaat: 5a78dfd4-ef2c-4e47-a29f-981bfcb5f02b,2024-07-01,17954.4,Student,20
