acct_ccy,acct_id,ctpty_ctry,ctpty_nm,rmt_inf_ustrd1,year_month,bal_aftr,occupation,age
USD,US19PONZ9985598136,Canada,Phillips 66,Energy supply charge,2024-06-01,6665.72,Professional,45
USD,US19PONZ9985598136,Canada,Johnson & Johnson,Medication purchase,2024-06-01,6691.91,Professional,45
USD,US19PONZ9985598136,NL,Geldmaat ATM,Geldmaat: 51957ef7-3400-4e30-8096-50aaa500c590,2024-06-01,6715.88,Professional,45
USD,US19PONZ9985598136,NL,Geldmaat ATM,Geldmaat: a6f7ac4e-ade4-4251-8b78-0e85c4167ce8,2024-06-01,10624.88,Professional,45
USD,US19PONZ9985598136,Austria,General Electric,Conglomerate product order,2024-06-01,10667.68,Professional,45
USD,US19PONZ9985598136,NL,Meta Platforms,Software license fee payment,2024-06-01,10670.46,Professional,45
USD,US19PONZ9985598136,NL,Gilead Sciences,Clinical trial payment,2024-06-01,10686.96,Professional,45
USD,US19PONZ9985598136,NL,Geldmaat ATM,Geldmaat: 84663f1c-ae63-47b1-b65c-8c13e377b1e8,2024-06-01,14595.96,Professional,45
USD,US19PONZ9985598136,Germany,Berat Strijker,Family loan repayment,2024-06-01,14672.07,Professional,45
USD,US19PONZ9985598136,NL,PepsiCo,Food delivery,2024-06-01,14730.75,Professional,45
USD,US19PONZ9985598136,Great Britain,BMW,Car purchase,2024-06-01,14736.53,Professional,45
USD,US19PONZ9985598136,Italy,Yasmine Stichter,Reimbursement for groceries,2024-06-01,14778.62,Professional,45
USD,US19PONZ9985598136,NL,Geldmaat ATM,Geldmaat: 044d188c-6d6c-457b-8c3f-3f910ef0f3fc,2024-06-01,18687.62,Professional,45
USD,US19PONZ9985598136,NL,Nadine Eerden,Rent assistance,2024-06-01,18696.49,Professional,45
USD,US19PONZ9985598136,Belgium,Vajèn Lelijveld,Personal loan,2024-06-01,18714.98,Professional,45
USD,US19PONZ9985598136,NL,Honeywell,Business unit invoice,2024-06-01,18771.89,Professional,45
USD,US19PONZ9985598136,NL,Geldmaat ATM,Geldmaat: f0e2a442-e4ba-4e8b-9b1d-17f5b2903beb,2024-06-01,22680.89,Professional,45
USD,US19PONZ9985598136,NL,Bristol-Myers Squibb,Medication purchase,2024-06-01,22691.67,Professional,45
USD,US19PONZ9985598136,NL,GlaxoSmithKline,Drug order payment,2024-06-01,22702.12,Professional,45
USD,US19PONZ9985598136,Great Britain,Kate van der Maes,Child support,2024-06-01,22707.0,Professional,45
USD,US19PONZ9985598136,NL,Novartis,Drug order payment,2024-06-01,22754.4,Professional,45
USD,US19PONZ9985598136,NL,Geldmaat ATM,Geldmaat: 7a28a2d7-7d25-43cf-8cfc-1e22674d0e4f,2024-06-01,26663.4,Professional,45
USD,US19PONZ9985598136,Japan,Amazon,Subscription service,2024-06-01,26677.09,Professional,45
USD,US19PONZ9985598136,United States,Ford Motor,Car parts order,2024-06-01,26743.46,Professional,45
USD,US19PONZ9985598136,NL,Bram Kuijpers,Housewarming gift,2024-06-01,26788.49,Professional,45
USD,US19PONZ9985598136,United States,Ayoub van Enschot,Support money,2024-06-01,26791.56,Professional,45
